N	2gram	Medvedev_B_1	Mirosoze
1	не только	1	29
2	и в	1	28
3	а не	1	25
4	не было	1	18
5	о свободе	1	18
6	в своей	1	15
7	в ней	2	15
8	до конца	1	14
9	и не	2	11
10	прежде всего	1	10
11	что в	1	10
12	и потому	1	10
13	было бы	1	10
14	должна быть	1	6
15	и на	1	6
16	все это	2	6
17	у нас	3	5
18	за пределы	1	4
19	к ней	1	4
20	будто бы	1	3
21	его не	1	3
22	все же	1	2
23	вопрос о	1	2
24	всего в	1	2
25	и во	1	2
26	не все	1	2
27	и нет	1	2
28	как будто	1	2
29	в значительной	1	1
30	еще не	1	1
31	во всяком	1	1
32	одной из	1	1
33	и ее	1	1
34	так и	1	1
35	выходит за	1	1
36	меньше чем	1	1
37	своей книге	1	1
38	об этом	1	1
39	склонен видеть	1	1
40	же не	1	1
41	на самом	1	1
42	значительной степени	1	1
43	говорить об	1	1
44	на которой	1	1
45	и о	1	1
46	всяком случае	1	1
47	творчества и	1	1
48	не вполне	1	1
49	также что	1	1
50	тем более	1	1
51	в области	1	1
52	к формальному	1	1
53	в эпоху	1	1
54	по отдельным	1	1
55	в пределах	1	1
56	можно было	2	1
57	и более	1	1
