N	3gram	Berdyaev_N_1	Mirosoze
1	не может быть	4	8
2	есть прежде всего	1	5
3	это и есть	1	3
4	так же как	2	3
5	же как и	1	3
6	если нет бога	1	3
7	в высшей степени	6	3
8	никогда не было	2	3
9	до сих пор	1	3
10	о том что	1	2
11	подобно тому как	3	2
12	добро и зло	1	2
13	как и в	1	2
14	в россии и	1	2
15	что она не	1	2
16	в том что	1	2
17	в этом он	1	2
18	в свою противоположность	1	2
19	в нем нет	2	2
20	испытание человеческой свободы	1	2
21	ни в чем	1	2
22	не может уже	2	2
23	а не в	1	2
24	но для этого	1	2
25	и должно быть	2	1
26	и есть лишь	1	1
27	имя свободы и	1	1
28	свои права и	2	1
29	истины о человеке	1	1
30	по своей природе	1	1
31	в свои права	2	1
32	это одна сторона	1	1
33	должно быть в	1	1
34	значение и не	1	1
35	христианской истины о	1	1
36	для себя и	1	1
37	в самом себе	1	1
38	человека и в	1	1
39	xix века и	2	1
40	социализм есть лишь	1	1
41	она не может	2	1
42	по природе своей	1	1
43	ни в какие	1	1
44	она неизбежно должна	1	1
45	до последних пределов	1	1
46	он не хотел	1	1
47	к этой теме	1	1
48	но я не	1	1
49	не в силах	1	1
50	в значительной степени	1	1
51	во имя человека	1	1
52	силы но я	1	1
53	хотя и в	1	1
54	а не к	1	1
55	во имя свободы	3	1
56	это есть прежде	1	1
57	та или иная	1	1
58	переходит в свою	1	1
59	приводит к отрицанию	1	1
60	крестьяне и рабочие	1	1
61	но и в	1	1
62	не осталось ни	1	1
63	находится во власти	1	1
64	церковь превращается в	1	1
65	не будет уже	1	1
66	так и должно	1	1
67	это не есть	1	1
68	я не могу	1	1
69	тому как в	1	1
70	прежде всего как	1	1
