N	3gram	Tiupa_Lite_3	VerxiiNi
1	вместе с тем	1	8
2	с одной стороны	4	7
3	с точки зрения	3	6
4	более или менее	1	5
5	в том числе	3	5
6	для того чтобы	1	5
7	о том что	4	4
8	том числе и	2	4
9	и вместе с	2	4
10	к тому же	5	4
11	так или иначе	2	3
12	в связи с	1	3
13	тем не менее	1	3
14	в том что	4	3
15	на этот путь	1	2
16	то же самое	2	2
17	в этом отношении	5	2
18	между богом и	1	2
19	ни чувств ни	1	2
20	с тех пор	1	2
21	с этой точки	1	2
22	не только для	1	2
23	некоторые из них	1	2
24	то ни было	2	2
25	бы то ни	2	2
26	то же время	7	2
27	ничего общего с	1	2
28	этой точки зрения	1	2
29	но и для	1	2
30	той или иной	2	2
31	не как на	1	2
32	на то что	2	2
33	в то же	7	2
34	с нами и	1	1
35	к богу не	1	1
36	так и остается	1	1
37	состоит в том	2	1
38	по отношению к	4	1
39	в самом деле	2	1
40	в соответствии с	3	1
41	о том как	1	1
42	сказать и о	1	1
43	в первую очередь	1	1
44	при этом не	1	1
45	в то что	2	1
46	несмотря на его	1	1
47	которые могли бы	1	1
48	в данном случае	4	1
49	но при этом	1	1
50	в отличие от	5	1
51	а не как	2	1
52	том что они	1	1
53	с другой стороны	2	1
54	как бы в	1	1
55	не может быть	3	1
56	может и не	1	1
57	в свою очередь	1	1
58	это и есть	1	1
59	во всех других	1	1
60	в одном из	2	1
61	не только не	1	1
62	начинается с того	1	1
63	одном из своих	1	1
64	может быть в	1	1
65	и только в	1	1
