N	3gram	Potebnia_M_4	VrazhdaK
1	то же время	3	4
2	в то же	3	4
3	как и у	1	3
4	в связи с	1	3
5	с точки зрения	3	2
6	не может быть	5	2
7	в примечании к	1	2
8	в том что	7	2
9	а между тем	4	1
10	а следовательно и	1	1
11	то что я	7	1
12	равно как и	2	1
13	же время и	1	1
14	в том же	2	1
15	над тем что	1	1
16	а тем более	1	1
17	до сих пор	4	1
18	и не может	1	1
19	в той же	1	1
20	не было бы	1	1
21	в этом отношении	1	1
22	что в нем	1	1
23	точно так же	1	1
24	по крайней мере	5	1
25	и то что	4	1
26	может быть и	1	1
27	в это время	1	1
28	о том как	1	1
29	на первый взгляд	1	1
30	одним из первых	1	1
31	но при этом	1	1
32	и в этом	4	1
33	во всяком случае	3	1
34	с другой стороны	1	1
35	в мире а	1	1
36	тем не менее	4	1
37	для нас весьма	1	1
38	заключается в том	1	1
39	в то время	1	1
40	в свою очередь	1	1
41	о том что	5	1
42	и в самом	1	1
43	не только не	3	1
44	на то что	4	1
45	давно уже не	1	1
46	с первого раза	1	1
47	не вдаваясь в	1	1
48	и все что	1	1
49	речь идет о	1	1
