N	2gram	Propp_Russ_2	Marksizm
1	может быть	13	28
2	и пр	2	25
3	и в	29	19
4	как бы	18	19
5	и не	1	19
6	не может	5	18
7	то же	4	16
8	и его	1	16
9	как мы	3	15
10	в этом	11	15
11	так сказать	1	14
12	таким образом	6	14
13	не только	10	13
14	связи с	2	13
15	в нем	1	11
16	если бы	1	11
17	не в	4	10
18	так и	1	10
19	но и	8	10
20	в пределах	1	10
21	том что	22	10
22	при этом	6	9
23	как и	11	9
24	для него	1	9
25	в основе	1	9
26	а не	4	9
27	в то	2	8
28	только в	1	8
29	отнюдь не	1	8
30	не является	1	8
31	на самом	2	7
32	его в	8	7
33	и более	1	7
34	одна из	11	7
35	никогда не	2	7
36	в том	22	7
37	прежде всего	2	7
38	и для	2	7
39	но в	5	7
40	в таком	4	7
41	мы уже	1	6
42	во всех	3	6
43	и как	2	6
44	в самом	1	6
45	того чтобы	6	6
46	для того	6	6
47	и следовательно	1	6
48	быть и	1	6
49	между тем	3	6
50	и все	4	6
51	в свою	1	6
52	и на	6	5
53	все же	2	5
54	выражение в	1	5
55	на этой	1	5
56	в данном	6	5
57	в их	2	5
58	свою очередь	1	5
59	и здесь	1	5
60	к нему	4	5
61	в его	1	5
62	в форме	2	5
63	в большинстве	1	5
64	этого слова	1	5
65	тем более	1	5
66	совершенно не	2	5
67	к этому	5	5
68	так же	4	5
69	а как	1	4
70	и ее	2	4
71	только на	1	4
72	на то	1	4
73	значение в	1	4
74	в данной	1	4
75	это не	5	4
76	было бы	3	4
77	мы видели	7	4
78	этой связи	1	4
79	ничего не	1	4
80	из одного	1	4
81	того что	3	4
82	с ними	1	4
83	что он	1	4
84	как раз	1	4
85	влияние на	2	4
86	связь с	3	4
87	смысле этого	1	4
88	в основном	1	4
89	то что	5	4
90	сказать что	1	4
91	и то	2	3
92	в котором	3	3
93	и до	1	3
94	в ней	1	3
95	еще не	6	3
96	в ее	3	3
97	иногда и	2	3
98	отличие от	3	3
99	относится к	1	3
100	с этим	2	3
101	перед нами	1	3
102	все эти	3	3
103	в этой	3	3
104	не к	2	3
105	здесь мы	2	3
106	не будет	1	3
107	в другом	1	3
108	с другими	3	3
109	от одного	1	3
110	в этих	3	3
111	в своей	2	3
112	в отличие	3	3
113	а иногда	2	3
114	не имеет	3	3
115	у нас	4	3
116	могут быть	2	3
117	для его	1	3
118	и это	1	3
119	на основе	1	3
120	о том	9	3
121	что и	2	3
122	в двух	1	3
123	в какой	1	3
124	с одной	2	3
125	в качестве	3	3
126	и значения	1	3
127	так как	13	3
128	же деле	2	3
129	с другой	2	3
130	связано с	2	3
