N	3gram	Medvedev_V_1	Istorich
1	и т д	14	18
2	с другой стороны	8	8
3	с одной стороны	2	7
4	вместе с тем	3	6
5	о том что	3	4
6	в связи с	3	4
7	мы знаем что	2	4
8	мы видим что	1	4
9	т е в	2	3
10	так же как	1	3
11	не может быть	8	3
12	после того как	1	3
13	для того чтобы	3	3
14	по отношению к	7	2
15	о том как	3	2
16	же как и	1	2
17	до сих пор	1	2
18	в данном случае	1	2
19	в том чтобы	2	2
20	не только в	2	2
21	при помощи которой	1	2
22	и вместе с	1	2
23	но и в	1	2
24	мы видели что	3	2
25	в том что	5	2
26	творчества они могут	1	1
27	доказывается тем что	1	1
28	к этому же	1	1
29	т е тот	1	1
30	иметь в виду	2	1
31	в виду что	1	1
32	об этом говорит	1	1
33	что перед нами	1	1
34	что один из	1	1
35	что для того	1	1
36	в том числе	2	1
37	в соответствии с	1	1
38	одной стороны и	2	1
39	можно утверждать что	3	1
40	он же говорит	1	1
41	только в том	2	1
42	в зависимости от	5	1
43	что он не	1	1
44	со всем что	1	1
45	может быть в	1	1
46	том числе и	2	1
47	то же время	5	1
48	это одна из	1	1
49	с этой точки	1	1
50	эти примеры показывают	1	1
51	главным образом в	1	1
52	в ней не	1	1
53	дело не в	1	1
54	то время как	1	1
55	в ту же	1	1
56	не в том	2	1
57	часто в качестве	1	1
58	но и он	2	1
59	во всех этих	1	1
60	не только для	1	1
61	носит в себе	2	1
62	во всяком случае	1	1
63	этой точки зрения	2	1
64	таким образом в	2	1
65	в то время	1	1
66	в свою очередь	1	1
67	может быть достигнуто	1	1
68	хотя бы в	3	1
69	одна из форм	1	1
70	но и для	1	1
71	вопрос о том	1	1
72	нет например в	1	1
73	в самом деле	1	1
74	подобно тому как	2	1
75	можно сказать что	4	1
76	совершенно очевидно что	1	1
77	в то же	5	1
78	в том смысле	1	1
79	в более поздних	1	1
80	его роль в	1	1
81	с этим и	1	1
82	только тогда когда	1	1
83	как мы знаем	1	1
84	другой стороны в	1	1
