N	3gram	Savitsky_E_1	Marksizm
1	с точки зрения	16	20
2	не может быть	2	13
3	бы то ни	4	8
4	то ни было	4	8
5	в связи с	1	7
6	и того же	1	5
7	одного и того	1	5
8	в отличие от	1	5
9	до настоящего времени	1	5
10	с другой стороны	2	5
11	в отношении к	12	4
12	этот вопрос мы	1	3
13	в этом отношении	3	3
14	на этот вопрос	1	3
15	может быть и	1	3
16	и тот же	1	3
17	каких бы то	2	3
18	один и тот	1	3
19	то же время	14	3
20	связи с этим	1	3
21	можно сказать что	3	3
22	в большинстве случаев	2	3
23	в то же	15	3
24	для того чтобы	5	3
25	в том что	6	3
26	или хотя бы	2	2
27	же как и	3	2
28	в том числе	1	2
29	том числе и	1	2
30	можно было бы	3	2
31	так же как	5	2
32	но в то	2	2
33	во всяком случае	3	2
34	смысле этого слова	1	2
35	не могут быть	1	2
36	в свою очередь	2	2
37	и прежде всего	3	2
38	в этом смысле	3	2
39	в пределах одного	1	2
40	или иную эпоху	1	1
41	он сам и	1	1
42	же обстоит дело	1	1
43	мы отметим что	1	1
44	чуть ли не	1	1
45	прежде всего в	2	1
46	между прочим и	2	1
47	хотя бы только	1	1
48	большей или меньшей	1	1
49	он не дает	1	1
50	и та и	1	1
51	как бы ни	3	1
52	что же касается	1	1
53	в одной из	1	1
54	ставится вопрос о	1	1
55	бы ни была	1	1
56	хотя бы и	3	1
57	не только наиболее	1	1
58	но и в	1	1
59	независимо от того	1	1
60	та и другая	1	1
61	но и эта	1	1
62	рано или поздно	2	1
63	так и с	1	1
64	если бы они	1	1
65	с этой точки	5	1
66	ту или иную	3	1
67	в значительной степени	1	1
68	и ту же	1	1
69	дело идет о	2	1
70	вопрос мы должны	1	1
71	и с точки	1	1
72	с одной стороны	8	1
73	спросить действительно ли	1	1
74	все эти области	1	1
75	и не было	1	1
76	в последнее время	1	1
77	в большей или	1	1
78	существует только в	1	1
79	но в каком	1	1
80	в каком же	1	1
81	и та же	1	1
82	одна и та	1	1
83	вместо того чтобы	1	1
84	и все другие	2	1
85	более или менее	1	1
86	вовсе не в	1	1
87	так и в	2	1
88	в идеологическом смысле	1	1
89	само по себе	4	1
90	этой точки зрения	5	1
91	с тем что	1	1
92	это значит что	1	1
93	не только в	4	1
94	выходит за пределы	1	1
95	друг от друга	2	1
96	в применении к	3	1
97	к тому что	1	1
98	друг с другом	3	1
99	во многих отношениях	1	1
100	во всех случаях	3	1
101	в ту или	1	1
102	здесь говорить о	1	1
103	одну и ту	1	1
104	и до настоящего	1	1
105	как мы видели	2	1
106	той или иной	4	1
