N	3gram	Medvedev_U_1	Psycholo
1	на то что	1	16
2	в том что	2	14
3	с одной стороны	1	12
4	в самом деле	2	5
5	до сих пор	2	5
6	с другой стороны	3	5
7	то же самое	2	3
8	сам по себе	1	3
9	с тем что	1	3
10	и то что	2	3
11	друг с другом	1	3
12	в этом отношении	2	3
13	то о чем	1	2
14	в этом случае	1	2
15	на первый план	1	2
16	в данном случае	1	2
17	не только в	1	2
18	в конце концов	2	2
19	само по себе	1	2
20	не может быть	4	2
21	нам думается что	1	2
22	можно сказать что	1	2
23	том что она	1	1
24	сводится к следующему	1	1
25	все что угодно	1	1
26	мы имеем в	1	1
27	более или менее	1	1
28	равно как и	1	1
29	в этом смысле	2	1
30	только материал для	1	1
31	в значительной мере	1	1
32	они находятся в	1	1
33	по крайней мере	2	1
34	и в частности	2	1
35	в эстетический объект	1	1
36	в художественном произведении	2	1
37	не могут быть	2	1
38	и в этой	2	1
39	но не могут	1	1
40	все же не	1	1
41	то что все	1	1
42	она все же	1	1
43	обе эти тенденции	1	1
44	произведения искусства как	1	1
45	самом деле есть	1	1
46	то что ему	1	1
47	в конечном счете	4	1
48	и что все	1	1
49	художественное произведение а	2	1
50	он может быть	1	1
51	при таком понимании	1	1
52	тем что он	1	1
