N	3gram	Nazirov_Tv_1	KFilosof
1	по отношению к	1	21
2	на самом деле	2	3
3	имеем в виду	1	2
4	в соответствии с	3	2
5	бы он ни	1	2
6	на первом плане	2	2
7	бы то ни	1	2
8	отказаться от своей	1	2
9	то ни было	1	2
10	прошлое и будущее	1	2
11	то же время	12	2
12	в то же	13	2
13	тем не менее	2	2
14	других людей и	1	2
15	в том что	6	2
16	форму и содержание	1	1
17	это уже не	2	1
18	не может не	1	1
19	образом и в	1	1
20	но только не	1	1
21	и того же	1	1
22	мы никогда не	1	1
23	равно как и	1	1
24	в один момент	1	1
25	в настоящее время	1	1
26	может быть понята	1	1
27	в том же	1	1
28	он не может	1	1
29	пространства и времени	1	1
30	но все это	1	1
31	людей и все	1	1
32	хотя бы и	1	1
33	и та же	2	1
34	но это не	1	1
35	вместе с тем	1	1
36	и тем не	1	1
37	и как бы	1	1
38	и в то	2	1
39	ту или иную	1	1
40	все это в	1	1
41	но в то	4	1
42	в этот момент	1	1
43	в известном смысле	1	1
44	как и на	1	1
45	это не значит	1	1
46	дело в том	3	1
47	что в конечном	1	1
48	одна и та	1	1
49	я не могу	1	1
50	он живет и	1	1
51	и все же	3	1
52	бытие в котором	1	1
53	по себе а	1	1
54	что может быть	1	1
55	это-то и есть	1	1
56	в действительной жизни	1	1
57	в свою очередь	1	1
58	оно могло бы	1	1
59	в котором оно	1	1
60	в конечном счете	4	1
61	и вследствие этого	1	1
62	одного и того	1	1
63	к тому что	1	1
64	в себя как	1	1
65	не значит что	1	1
66	действительной жизни и	1	1
67	дело не в	1	1
68	и в ее	1	1
69	то же самое	1	1
