N	3gram	Berdyaev_M_1	StatiiOP
1	в том что	1	11
2	и т п	1	6
3	не может быть	17	5
4	то время как	2	4
5	во всяком случае	1	4
6	о том что	1	4
7	в то время	2	4
8	прежде всего в	2	3
9	начале xix века	1	3
10	с тем что	3	3
11	в конце концов	2	3
12	в начале xix	1	3
13	не в том	1	3
14	не только в	2	3
15	но это не	1	3
16	потому что он	1	2
17	в русской поэзии	1	2
18	может быть назван	1	2
19	но и в	4	2
20	до сих пор	2	2
21	что он был	1	2
22	тем что он	2	2
23	все более и	1	2
24	тем что в	1	2
25	во всех этих	1	2
26	между тем как	1	2
27	более и более	1	2
28	мы имеем в	1	2
29	в том смысле	2	2
30	и в конце	2	1
31	не может не	2	1
32	с этим связано	1	1
33	а иногда и	1	1
34	потому что в	3	1
35	русской истории он	1	1
36	а не в	4	1
37	на протяжении всей	1	1
38	в самом деле	1	1
39	он не может	2	1
40	тесно связано и	1	1
41	смысле в каком	2	1
42	вместе с тем	5	1
43	к прошлому а	1	1
44	ко всему этому	1	1
45	в наше время	1	1
46	можно было бы	1	1
47	исторического процесса в	1	1
48	потому не мог	2	1
49	никогда не был	2	1
50	к западной европе	1	1
51	том смысле в	1	1
52	интересно что в	1	1
53	смысле что он	1	1
54	я хотел бы	2	1
55	очень интересно что	1	1
56	на этом пути	2	1
57	но в конце	1	1
58	что совершается в	1	1
59	от того что	1	1
60	том смысле что	1	1
61	на протяжении всего	1	1
62	и в самом	3	1
63	это очень существенно	1	1
64	была для него	1	1
65	не знает что	1	1
66	к нему все	2	1
67	для того чтобы	2	1
68	может быть он	1	1
69	ответ на это	1	1
