N	2gram	Voloshinov_1	Sovremen
1	таким образом	7	8
2	в результате	1	5
3	в этом	10	5
4	не может	12	5
5	мы можем	7	4
6	и наконец	5	4
7	мы не	9	4
8	как бы	28	4
9	все эти	2	3
10	в наших	1	3
11	в целом	4	3
12	на две	1	3
13	не можем	1	3
14	зависимости от	5	3
15	в развитии	1	3
16	состоит из	1	3
17	в зависимости	5	3
18	из двух	2	3
19	с помощью	6	3
20	из этих	1	2
21	а на	2	2
22	у нас	4	2
23	как угодно	1	2
24	на этом	1	2
25	в одном	3	2
26	все же	7	2
27	и в	38	2
28	но в	5	2
29	мы должны	10	2
30	что же	8	2
31	на этот	1	2
32	все это	4	2
33	в дальнейшем	2	2
34	с общим	1	2
35	еще мало	2	2
36	тот же	2	2
37	если мы	4	2
38	и все	4	2
39	мы видели	5	2
40	прежде всего	21	2
41	не только	27	2
42	точки зрения	10	2
43	в виде	1	2
44	наконец не	1	2
45	то же	14	2
46	из которых	3	2
47	не в	6	2
48	при этом	9	2
49	мы видим	3	2
50	этой стадии	1	2
51	и не	14	1
52	как мы	9	1
53	в процессе	6	1
54	из приведенных	1	1
55	мало для	1	1
56	может не	1	1
57	не допускает	1	1
58	все время	5	1
59	мы имели	2	1
60	всегда будет	1	1
61	все-таки в	1	1
62	нас на	1	1
63	это и	1	1
64	вследствие этого	2	1
65	таким же	1	1
66	он не	2	1
67	поэтому в	1	1
68	наших целей	1	1
69	в любом	1	1
70	наконец мы	1	1
71	зрения и	1	1
72	мы будем	6	1
73	так называемых	1	1
74	образом если	1	1
75	еще раз	1	1
76	за собой	1	1
77	роль в	3	1
78	их в	3	1
79	а в	5	1
80	каждый раз	1	1
81	в то	9	1
82	которой организм	1	1
83	позволяет ему	1	1
84	в своих	2	1
85	как он	1	1
86	но они	1	1
87	этот процесс	2	1
88	в нашем	5	1
89	значит он	1	1
90	свою очередь	4	1
91	должен быть	2	1
92	с другой	1	1
93	в другом	1	1
94	и т.п	21	1
95	природы и	2	1
96	для каждого	2	1
97	путем и	1	1
98	указать на	1	1
99	из нескольких	1	1
100	но все	4	1
101	как и	10	1
102	в которой	7	1
103	она не	1	1
104	те явления	1	1
105	еще не	3	1
106	отметить что	1	1
107	независимо от	5	1
108	бы к	1	1
109	без помощи	1	1
110	является ли	1	1
111	жизни и	3	1
112	в предыдущей	2	1
113	еще более	2	1
114	о том	4	1
115	того же	1	1
116	через несколько	1	1
117	один из	4	1
118	его с	1	1
119	и потому	2	1
120	это как	1	1
121	внешней стороне	1	1
122	же в	1	1
123	ничего не	8	1
124	же этот	1	1
125	организм из	1	1
126	между собой	2	1
127	заключать в	1	1
128	же время	7	1
129	для своего	1	1
130	так же	4	1
131	для нас	3	1
132	группа из	1	1
133	что в	1	1
134	ясно что	2	1
135	на это	4	1
136	в течение	1	1
137	бы два	1	1
138	развития мы	1	1
139	а не	6	1
140	так называемый	1	1
141	или как	6	1
142	той же	5	1
143	между ними	3	1
144	может быть	13	1
145	видели что	3	1
146	он должен	3	1
147	что при	1	1
148	только так	1	1
149	происходящего в	1	1
150	видим что	2	1
151	все равно	1	1
152	и действительно	1	1
153	а затем	1	1
154	мы имеем	2	1
155	тем же	3	1
156	носят название	1	1
157	которых он	1	1
158	для наших	2	1
159	кроме того	2	1
160	но еще	1	1
161	и несколько	2	1
162	определенным образом	1	1
163	в том	2	1
164	не будем	1	1
165	и т.д	21	1
166	же мы	5	1
167	из одного	1	1
168	одной и	2	1
169	это не	3	1
170	это уже	1	1
171	уже в	5	1
172	конечно не	3	1
173	в себе	9	1
174	вполне достаточно	1	1
175	теперь мы	1	1
176	одна из	1	1
177	и даже	3	1
178	ли оно	1	1
179	и все-таки	2	1
180	именно эта	1	1
181	и от	7	1
182	положение данного	1	1
183	которую играет	1	1
184	она развивается	1	1
185	в этой	6	1
186	но это	2	1
187	поэтому мы	1	1
188	так как	7	1
189	что свои	1	1
190	у него	1	1
191	и той	5	1
192	этом случае	3	1
193	что это	4	1
194	этот вопрос	2	1
195	он в	1	1
196	же как	1	1
197	в нем	4	1
198	так сказать	4	1
199	чтобы он	1	1
200	уже совершенно	1	1
201	достаточно для	2	1
202	только одна	2	1
203	и к	4	1
204	же самое	5	1
205	и всегда	1	1
206	дает нам	1	1
207	между двумя	2	1
208	и следовательно	5	1
209	что эта	1	1
210	в конце	6	1
211	в свою	6	1
212	жизни мы	2	1
213	теперь же	2	1
214	том что	3	1
215	не могут	1	1
216	познакомиться с	1	1
217	в своем	1	1
218	и будет	1	1
219	двух частей	1	1
220	процессе развития	1	1
221	же обусловлено	1	1
