N	2gram	Propp_Isto_5	Sotsiolo
1	все это	4	7
2	в том	6	5
3	в этом	10	5
4	и только	1	3
5	как же	1	3
6	для нас	5	3
7	не только	13	3
8	и в	25	3
9	не в	6	3
10	в его	12	3
11	как только	1	2
12	но и	13	2
13	и мы	2	2
14	было бы	1	2
15	должна быть	1	2
16	только в	7	2
17	дело не	1	2
18	том что	8	2
19	одно дело	1	2
20	в частности	7	2
21	как будто	1	2
22	то что	7	2
23	главным образом	1	2
24	или даже	1	2
25	и что	8	2
26	еще не	8	2
27	только как	1	2
28	ведь это	1	2
29	таким образом	9	2
30	отношению к	2	2
31	в конце	1	2
32	что в	8	2
33	может быть	17	2
34	как бы	2	2
35	по отношению	2	2
36	очевидно что	2	2
37	по существу	2	2
38	то же	4	2
39	что все	4	1
40	право на	1	1
41	вряд ли	1	1
42	быть не	1	1
43	наконец в	1	1
44	по себе	2	1
45	даже в	2	1
46	в этой	3	1
47	отнюдь не	1	1
48	эти два	1	1
49	и должны	1	1
50	даже не	1	1
51	но одно	1	1
52	же этот	1	1
53	и самые	1	1
54	с другой	9	1
55	приемы их	1	1
56	его в	9	1
57	дает нам	1	1
58	только для	1	1
59	с ним	4	1
60	это не	6	1
61	новые и	1	1
62	все же	10	1
63	же теперь	1	1
64	один из	2	1
65	и есть	1	1
66	перед нами	2	1
67	в то	3	1
68	это наиболее	1	1
69	тем же	1	1
70	и наконец	1	1
71	еще и	1	1
72	а с	1	1
73	человек все	1	1
74	том как	2	1
75	тем что	10	1
76	в наше	2	1
77	и как	3	1
78	и затем	2	1
79	в процессе	1	1
80	на ней	2	1
81	что он	22	1
82	прежде всего	6	1
83	как живой	1	1
84	не было	1	1
85	одной стороны	7	1
86	и не	11	1
87	пишет он	1	1
88	из себя	4	1
89	на тех	2	1
90	никогда не	3	1
91	на основании	1	1
92	он по	1	1
93	мы не	5	1
94	со своими	2	1
95	же время	1	1
96	ничего не	2	1
97	мы еще	1	1
98	не мешает	1	1
99	и о	1	1
100	все эти	8	1
101	это же	3	1
102	именно на	2	1
103	как и	7	1
104	или нет	1	1
105	бы в	1	1
106	для этого	1	1
107	мы должны	4	1
108	в таких	3	1
109	их на	2	1
110	образом в	2	1
111	конечно не	1	1
112	в связи	4	1
113	и его	9	1
114	в этих	6	1
115	место в	1	1
116	автор не	1	1
117	связи с	8	1
118	хотя бы	1	1
119	в целом	3	1
120	для наших	1	1
121	не может	6	1
122	в своей	2	1
123	только тогда	2	1
124	а в	3	1
125	работы в	1	1
126	него и	5	1
127	что она	1	1
128	о том	7	1
129	не дает	1	1
130	и русская	1	1
131	к изучению	1	1
132	и потому	2	1
133	он ни	1	1
134	в него	5	1
135	в котором	1	1
136	никак не	1	1
137	происходит не	1	1
138	подняться на	1	1
139	единства и	1	1
140	на следующий	1	1
141	время в	2	1
142	всяком случае	1	1
143	где же	1	1
144	в силу	1	1
145	ни на	1	1
146	должно было	2	1
147	не без	1	1
148	что это	5	1
149	у которых	2	1
150	вовсе не	2	1
151	с одной	7	1
152	но не	5	1
153	у него	2	1
154	в систему	1	1
155	в виде	9	1
156	в данном	3	1
157	но как	1	1
158	и по	2	1
159	что на	1	1
160	это происходит	2	1
161	и более	1	1
162	во всяком	1	1
163	что данный	1	1
164	перейти к	1	1
165	они не	3	1
166	единственный путь	1	1
167	это значит	2	1
