N	3gram	Kanaev_Sov_1	TeoriaLi
1	по отношению к	1	8
2	в отличие от	2	7
3	в том что	1	6
4	то же время	1	6
5	в то же	1	6
6	в данном случае	1	5
7	в конечном счете	1	4
8	тем не менее	2	3
9	в свою очередь	2	3
10	той или иной	1	3
11	в этом смысле	1	3
12	с точки зрения	5	2
13	тот или иной	1	2
14	с одной стороны	1	2
15	не может быть	4	2
16	точки зрения и	1	1
17	дело в том	1	1
18	в настоящее время	2	1
19	в этом случае	1	1
20	смысле можно говорить	1	1
21	и в то	1	1
22	бы то ни	1	1
23	ведь это не	1	1
24	по крайней мере	1	1
25	из этих двух	1	1
26	в том случае	1	1
27	может быть и	2	1
28	этом смысле можно	1	1
29	между ним и	1	1
30	на две половины	1	1
31	то ни было	1	1
32	в известном смысле	1	1
33	не могут быть	1	1
34	в связи с	1	1
35	так же как	1	1
36	две половины и	1	1
37	в одном случае	1	1
38	и прежде всего	1	1
39	той же природы	1	1
40	с совершенно иными	1	1
