N	3gram	Propp_Morf_1	Poddanst
1	в том что	3	4
2	с точки зрения	2	3
3	с одной стороны	1	3
4	нужно помнить что	1	2
5	о котором говорит	1	1
6	далеко не все	3	1
7	более или менее	2	1
8	каждый в отдельности	1	1
9	в настоящее время	3	1
10	и вслед за	1	1
11	но и другие	1	1
12	и в какой	1	1
13	мы не будем	2	1
14	в собственном смысле	3	1
15	совершенно ясно что	1	1
16	чтобы это сделать	1	1
17	а в качестве	1	1
18	а в с	1	1
19	если мы не	3	1
20	между тем в	1	1
21	думается что в	1	1
22	мы не сумеем	2	1
23	во всяком случае	2	1
24	с другой стороны	4	1
25	не может быть	9	1
26	того чтобы это	1	1
27	тем и другим	2	1
28	ни к чему	2	1
29	не более как	1	1
30	в большинстве случаев	3	1
31	друг с другом	1	1
32	эти могут быть	1	1
33	для того чтобы	2	1
34	и т д	39	1
