N	2gram	Losev_Dial_4	UchenyiS
1	и в	15	14
2	а не	18	10
3	не только	8	10
4	прежде всего	11	8
5	и не	30	8
6	не может	11	7
7	вот почему	3	7
8	в этом	11	7
9	то что	16	7
10	может быть	17	6
11	то же	9	5
12	и только	2	5
13	художественное произведение	2	5
14	все это	9	5
15	хотя бы	4	5
16	с другой	1	4
17	но и	4	4
18	что такое	5	4
19	в их	3	4
20	в этой	4	4
21	конечно не	2	4
22	то ни	4	3
23	и то	3	3
24	это не	12	3
25	было бы	9	3
26	как и	7	3
27	для этого	2	3
28	в частности	2	3
29	в своей	3	3
30	очевидно что	1	3
31	в то	6	3
32	все же	2	3
33	но в	3	3
34	же время	6	3
35	в области	3	3
36	только к	1	3
37	у нас	3	3
38	другой стороны	2	3
39	не как	4	3
40	не о	4	3
41	что все	4	2
42	а между	1	2
43	крайней мере	7	2
44	же не	1	2
45	именно как	1	2
46	и с	4	2
47	и через	1	2
48	а его	1	2
49	а как	2	2
50	это было	2	2
51	должна быть	7	2
52	превращается в	1	2
53	мы не	9	2
54	не приходится	1	2
55	если бы	6	2
56	что мы	7	2
57	ничего не	17	2
58	как таковой	5	2
59	том что	10	2
60	на первый	1	2
61	надо было	3	2
62	ни от	2	2
63	с его	5	2
64	думается что	1	2
65	в его	4	2
66	по крайней	7	2
67	по существу	1	2
68	что и	6	2
69	по себе	13	2
70	конце концов	1	2
71	но это	4	2
72	этом смысле	4	2
73	в том	11	2
74	тех или	4	2
75	это уже	1	2
76	и для	5	2
77	что он	7	2
78	в себе	8	2
79	при таком	2	2
80	в самом	2	2
81	и у	1	2
82	только в	7	2
83	мы получаем	2	2
84	не в	8	2
85	для всех	3	2
86	как принцип	1	2
87	все они	1	2
88	не есть	40	2
89	еще ничего	2	2
90	или иных	1	2
91	фактов и	1	2
92	его и	1	2
93	бы и	3	2
94	всех этих	1	2
95	их и	1	2
96	не могут	2	2
97	могут быть	3	2
98	в конце	1	2
99	как раз	4	2
100	тем что	2	2
101	что она	5	2
102	таким образом	5	2
103	даже и	3	2
104	и это	8	1
