N	2gram	Berdyaev_O_1	KulturaY
1	т е	4	38
2	в том	5	30
3	и в	19	24
4	потому что	9	23
5	том что	2	21
6	что в	4	17
7	того чтобы	4	17
8	для того	3	16
9	было бы	3	15
10	и пр	1	15
11	в этом	12	14
12	может быть	11	13
13	все же	2	12
14	и не	13	12
15	в его	7	12
16	не в	11	11
17	хотя бы	3	10
18	в самом	5	10
19	не только	11	10
20	в силу	1	10
21	у нас	1	10
22	вовсе не	1	10
23	самом деле	1	9
24	так как	2	9
25	если бы	1	9
26	о том	3	9
27	того что	3	9
28	прежде всего	9	9
29	то что	5	9
30	уже не	1	8
31	тем что	2	8
32	а не	11	8
33	не может	4	7
34	это не	3	7
35	в них	1	7
36	так и	2	7
37	бы в	1	7
38	как бы	3	7
39	в ней	1	6
40	в которой	2	6
41	все эти	4	6
42	не случайно	1	6
43	можно было	1	6
44	что он	3	6
45	но и	13	6
46	что же	2	6
47	все это	6	6
48	например в	1	5
49	еще не	3	5
50	но не	1	5
51	что это	1	5
52	и с	2	5
53	с тем	2	5
54	и его	4	5
55	не потому	1	5
56	в виду	1	5
57	с ним	3	5
58	и что	1	5
59	а потому	1	5
60	всяком случае	1	5
61	что не	4	5
62	этом отношении	1	5
63	а в	5	5
64	речи и	1	5
65	во всяком	1	5
66	и на	2	4
67	с его	4	4
68	что они	2	4
69	как в	1	4
70	учение о	2	4
71	на то	1	4
72	в нем	10	4
73	и тогда	1	4
74	в науке	1	4
75	того как	1	4
76	в русском	1	4
77	в самой	9	4
78	что и	2	4
79	с ними	1	4
80	так что	2	4
81	не есть	2	4
82	из них	1	4
83	со стороны	1	4
84	в частности	1	4
85	и потому	2	4
86	один из	1	4
87	указать на	1	4
88	в этих	3	4
89	и то	2	3
90	науки о	1	3
91	в котором	1	3
92	в сущности	1	3
93	и он	8	3
94	в истории	2	3
95	в своем	2	3
96	хотя и	2	3
97	когда он	3	3
98	в этой	5	3
99	с их	1	3
100	в себе	3	3
101	не имеют	1	3
102	должна быть	1	3
103	что она	1	3
104	а это	1	3
105	должно быть	2	3
106	нисколько не	1	3
107	только и	4	3
108	не с	1	3
109	том как	1	3
110	и здесь	1	3
111	нуждается в	1	3
112	уже в	2	3
113	в одном	1	3
114	отрицает что	1	3
115	даже и	2	3
116	не было	9	3
117	и даже	1	3
