N	4gram	Losev_Vlad_3	Psycholo
1	заключается в том что	1	4
2	одно и то же	1	3
3	не что иное как	1	2
4	сводится к тому что	2	2
5	а с другой стороны	2	2
6	в том и заключается	1	2
7	означает не что иное	1	1
8	до сих пор не	1	1
9	в конце концов только	1	1
10	ясно что в этом	1	1
11	в то время как	2	1
12	с этой точки зрения	1	1
13	в том что он	1	1
14	в том что в	3	1
15	и то что в	1	1
16	с одной стороны и	2	1
17	дело в том что	4	1
18	так же невозможно как	1	1
19	то что в этом	1	1
20	если иметь в виду	1	1
21	но вместе с тем	1	1
22	том и заключается что	1	1
23	на то что в	1	1
24	так же как и	1	1
