N	2gram	Tiupa_Disk_1	Otkroven
1	он не	1	4
2	у достоевского	1	3
3	для него	4	2
4	различие между	2	2
5	в этом	15	2
6	он всегда	2	2
7	а не	22	2
8	отношение к	4	1
9	красоты в	1	1
10	в другом	2	1
11	этом он	1	1
12	начало в	1	1
13	он сам	1	1
14	как и	16	1
15	также и	3	1
16	мысли и	2	1
17	в уста	1	1
18	что она	1	1
19	учение о	1	1
20	из сторон	1	1
21	в сферу	3	1
22	говорит о	1	1
23	если бы	1	1
24	его и	1	1
25	и остаются	1	1
26	и он	2	1
27	в человеческой	1	1
28	и в	16	1
29	это не	3	1
30	но оно	1	1
31	не есть	2	1
32	но и	14	1
33	не только	28	1
34	и всякий	1	1
35	никогда не	2	1
