N	2gram	Medvedev_V_1	Narrotol
1	и не	1	20
2	и в	2	19
3	в том	2	18
4	в этом	1	17
5	в частности	1	14
6	том что	2	14
7	и т.д	1	7
8	именно в	1	6
9	и его	1	5
10	далеко не	1	5
11	хотя бы	1	4
12	то же	1	4
13	да и	1	4
14	только в	1	4
15	столь же	1	3
16	даже не	1	3
17	сводится к	1	3
18	в значительной	1	2
19	и только	1	2
20	время в	1	2
21	все то	1	2
22	значительной степени	1	2
23	по существу	1	2
24	тем более	1	2
25	самом деле	1	2
26	в другом	1	1
27	крайней мере	1	1
28	юноши в	1	1
29	в конце	2	1
30	в их	1	1
31	чего не	1	1
32	потому что	1	1
33	этом и	1	1
34	все время	1	1
35	на одном	1	1
36	дело в	1	1
37	в книге	3	1
38	сколь и	1	1
39	собственно и	1	1
40	по поводу	1	1
41	речи и	1	1
42	по крайней	1	1
43	том же	1	1
44	в самом	1	1
45	впрочем не	1	1
46	от других	1	1
47	не будем	1	1
48	бы уже	1	1
49	а.н веселовского	2	1
50	в которых	1	1
51	и то	1	1
52	как же	1	1
53	но это	1	1
