N	2gram	Savitsky_E_1	Vvedenie
1	и т	1	42
2	т д	1	36
3	т е	9	35
4	и в	37	32
5	в том	11	31
6	в этом	12	30
7	может быть	6	26
8	том что	6	26
9	не только	18	22
10	для того	6	21
11	того чтобы	6	20
12	таким образом	2	19
13	также и	7	18
14	то что	6	16
15	потому что	3	15
16	так как	7	15
17	не может	9	14
18	но также	2	14
19	в нем	1	13
20	в самом	4	13
21	со стороны	5	13
22	о том	3	13
23	как на	3	12
24	того что	7	12
25	и не	14	12
26	только в	9	12
27	в их	11	12
28	в его	2	12
29	в общем	3	12
30	представляет собой	3	12
31	в ее	8	11
32	как мы	5	11
33	в данном	3	11
34	что в	21	10
35	по себе	4	9
36	этом смысле	3	9
37	между тем	8	9
38	в той	5	9
39	в истории	2	9
40	то же	15	9
41	но в	14	9
42	и как	2	9
43	не менее	1	8
44	не в	5	8
45	именно в	4	8
46	с другой	7	8
47	но не	5	7
48	все же	1	7
49	вопрос о	4	7
50	прежде всего	9	7
51	точки зрения	23	7
52	как нечто	1	7
53	в применении	3	7
54	смысле этого	1	7
55	дело с	1	7
56	в большей	1	7
57	о котором	1	7
58	было бы	8	7
59	уже и	3	7
60	к выводу	1	7
61	можно было	3	7
62	же время	14	6
63	вовсе не	6	6
64	культуры как	2	6
65	с тем	3	6
66	а именно	2	6
67	но и	14	6
68	и даже	6	6
69	как и	7	6
70	и его	1	6
71	в качестве	14	6
72	в то	16	6
73	хотя бы	15	6
74	один из	1	6
75	тем что	3	6
76	представить себе	1	6
77	не могут	2	6
78	и это	1	6
79	этот вопрос	2	6
80	применении к	3	6
81	течением времени	2	5
82	данном случае	2	5
83	и тем	3	5
84	на этот	2	5
85	в какой	2	5
86	а не	2	5
87	об этом	1	5
88	она есть	1	5
89	с течением	2	5
90	но если	5	5
91	что не	1	5
92	сказать что	4	5
93	вместе с	2	5
94	в течение	5	5
95	с их	1	5
96	по своему	7	5
97	в них	3	5
98	другой стороны	2	5
99	могут быть	2	5
100	в которых	3	5
101	быть в	1	5
102	уже в	1	5
103	как бы	6	5
104	не есть	2	5
105	в себе	9	4
106	сравнению с	2	4
107	во всяком	3	4
108	отдельные области	1	4
109	от этого	5	4
110	в разных	1	4
111	и для	3	4
112	и ее	1	4
113	независимо от	4	4
114	в виде	5	4
115	как это	4	4
116	по сравнению	2	4
117	в своей	8	4
118	само по	4	4
119	а в	2	4
120	одно из	1	4
121	этот процесс	2	4
122	смотреть на	1	4
123	с этой	6	4
124	в чисто	1	4
125	по отношению	1	4
126	на вопрос	1	4
127	связана с	1	4
128	не имеет	4	4
129	всяком случае	3	4
130	эти области	6	4
131	уже не	1	4
132	особого рода	1	4
133	одной стороны	8	4
134	внимание на	1	4
135	в котором	2	4
136	с одной	8	4
137	этом отношении	3	4
138	и что	2	4
139	той же	1	4
140	истории и	1	4
141	при том	1	4
142	и то	2	4
143	или иначе	1	4
144	все эти	1	3
145	данного народа	3	3
146	прошлом и	1	3
147	но с	2	3
148	в свое	1	3
149	говорить о	1	3
150	можно сказать	4	3
151	говорит о	3	3
152	так же	9	3
153	в известной	3	3
154	при этом	1	3
155	связи с	1	3
156	известном смысле	3	3
157	гораздо более	1	3
158	к нему	2	3
159	и вообще	1	3
160	если бы	2	3
161	что это	2	3
162	в одном	2	3
163	в изучении	1	3
164	стороны и	6	3
165	но все	1	3
166	в начале	1	3
167	что же	2	3
168	одной из	5	3
169	в области	11	3
170	что может	1	3
171	культуры в	4	3
172	что даже	1	3
173	науки с	1	3
174	к тому	8	3
175	мы видели	3	3
176	отношений между	2	3
177	хотя и	2	3
178	и других	2	3
179	духовной жизни	2	3
180	во второй	3	3
181	и к	3	3
182	тогда когда	2	3
183	в центре	1	3
184	дело в	3	3
185	или меньшей	1	3
186	так называемых	1	3
187	на основании	2	3
188	в этой	2	3
189	бы и	3	3
190	в этих	2	3
191	что и	3	3
192	и на	6	3
193	от себя	1	3
194	он мог	1	3
195	однако не	1	3
196	в результате	3	3
197	культуры не	2	3
198	на этом	1	3
199	язык и	1	3
200	не как	1	3
201	времени в	1	3
202	при помощи	2	3
203	в известном	3	3
204	в частности	5	3
205	а также	7	3
206	в каком	4	3
207	то это	1	3
208	чем в	4	3
209	в ней	4	3
210	как оно	2	3
211	заключается в	2	3
212	что с	1	3
213	как будто	2	3
214	большей или	1	3
215	каждой из	1	3
216	он сам	2	3
