N	4gram	Vygotskiy__2	Russkaja
1	в то же время	2	10
2	что бы то ни	1	3
3	в том случае если	4	3
4	во что бы то	1	3
5	бы то ни стало	1	3
6	друг с другом и	1	2
7	с точки зрения этой	1	2
8	только в том случае	4	2
9	одного и того же	1	1
10	в основе его лежит	1	1
11	само собой разумеется что	1	1
12	точно так же как	2	1
13	указывает на то что	1	1
14	в том виде как	2	1
15	и не может быть	1	1
16	бы то ни было	1	1
17	нечего и говорить что	1	1
18	по самому своему существу	1	1
19	на то что для	1	1
20	состоит в том чтобы	2	1
21	заключается в том что	7	1
22	речь идет не об	1	1
