N	2gram	Vinokur_Vv_1	Psycholo
1	то что	17	32
2	и в	27	31
3	в том	31	30
4	и т	43	26
5	что в	11	23
6	может быть	24	22
7	таким образом	19	20
8	при помощи	2	20
9	совершенно ясно	1	19
10	при этом	3	19
11	ясно что	9	19
12	так как	13	18
13	не может	13	17
14	как и	5	16
15	том что	26	16
16	т п	5	16
17	и не	13	16
18	точки зрения	7	15
19	искусства и	1	15
20	только в	13	14
21	не только	21	13
22	что и	3	13
23	а не	3	13
24	мы не	2	12
25	так же	3	12
26	в этом	34	12
27	в самом	12	11
28	не в	8	11
29	в области	4	11
30	могут быть	4	11
31	в сущности	3	10
32	на то	1	10
33	того что	12	10
34	потому что	14	10
35	самом деле	6	9
36	искусства в	1	9
37	по себе	9	9
38	как в	1	9
39	т д	37	8
40	и что	4	8
41	никогда не	3	8
42	что мы	2	8
43	вместе с	6	8
44	все это	6	8
45	во всяком	3	8
46	только тогда	1	7
47	том чтобы	6	7
48	заключается в	4	7
49	на основании	5	7
50	сказать что	5	7
51	того чтобы	21	7
52	и его	5	7
53	о том	15	7
54	есть в	1	7
55	тому как	1	7
56	что он	4	7
57	что это	3	6
58	зависимости от	1	6
59	очевидно что	1	6
60	из этих	5	6
61	что она	3	6
62	для того	21	6
63	было бы	5	6
64	если бы	2	6
65	в его	10	6
66	всяком случае	3	6
67	вовсе не	6	6
68	и даже	5	6
69	одной стороны	4	6
70	до конца	3	6
71	а в	5	6
72	и есть	3	5
73	в зависимости	1	5
74	то же	8	5
75	в ее	11	5
76	с одной	4	5
77	в целом	5	5
78	и совершенно	2	5
79	подобно тому	1	5
80	показывает что	1	5
81	несмотря на	2	5
82	иначе говоря	1	5
83	в то	5	5
84	тогда когда	3	5
85	как будто	3	5
86	утверждать что	1	5
87	с другой	8	5
88	мы видим	1	5
89	в какой	4	5
90	так что	5	5
91	само по	3	5
92	совершенно не	1	5
93	это есть	2	5
94	как бы	5	5
95	этой точки	1	5
96	все же	8	5
97	и для	4	5
98	и все	1	5
99	говорит что	1	5
100	другой стороны	5	5
