N	2gram	Tiupa_Anal_3	BTomashe
1	у нас	1	3
2	и не	12	2
3	все это	3	2
4	в ней	2	2
5	литературных произведений	3	2
6	видеть в	2	2
7	крайней мере	4	1
8	об исторических	1	1
9	более что	1	1
10	за пределы	1	1
11	тем более	1	1
12	также что	1	1
13	говорить о	3	1
14	будто бы	1	1
15	об этом	2	1
16	и в	18	1
17	и о	1	1
18	с другой	7	1
19	в своей	1	1
20	на самом	1	1
21	как будто	1	1
22	не следует	1	1
23	было бы	3	1
24	все же	4	1
25	всяком случае	2	1
26	а о	1	1
27	никак не	1	1
28	между ними	1	1
29	было и	1	1
30	еще не	6	1
31	имеющихся в	1	1
32	и на	4	1
33	в пределах	4	1
34	представляется нам	2	1
35	по нашему	1	1
36	одной из	1	1
37	в значительной	2	1
38	забывать что	1	1
39	прежде всего	5	1
40	в данном	4	1
41	так и	14	1
42	не было	3	1
43	в книге	1	1
44	его не	3	1
45	совершенно не	2	1
46	далеко не	4	1
47	не о	1	1
48	а не	9	1
49	что в	9	1
50	другой стороны	5	1
51	и ее	2	1
52	не все	1	1
53	произведений является	1	1
54	ведет по	1	1
55	по крайней	4	1
56	отнюдь не	4	1
57	таким образом	4	1
58	вопрос о	1	1
59	и потому	2	1
60	не только	22	1
61	значительной степени	2	1
62	во всяком	2	1
