N	3gram	Nazirov_Tr_1	Problema
1	тем не менее	1	18
2	в данном случае	2	8
3	сам по себе	1	7
4	о том что	2	5
5	в том что	2	5
6	точно так же	2	4
7	в конце концов	1	4
8	в связи с	1	4
9	в то же	5	4
10	то что он	1	3
11	во всяком случае	1	3
12	не только не	1	3
13	в этом случае	1	2
14	в самом деле	1	2
15	и не знал	1	2
16	и то что	1	2
17	и в этом	1	2
18	не может быть	1	2
19	и как бы	2	2
20	и в самом	2	2
21	а между тем	1	1
22	в чем же	1	1
23	в записках из	2	1
24	любви ко всему	1	1
25	герое этого романа	1	1
26	и т п	1	1
27	ничего не значит	1	1
28	записках из подполья	1	1
29	еще ничего не	1	1
30	но в то	2	1
31	и не быть	1	1
32	так и в	3	1
33	и должно быть	1	1
34	не могут быть	1	1
35	в известной мере	1	1
36	в какой-то мере	1	1
37	только на путях	1	1
38	но в конце	1	1
39	не сводится только	1	1
40	и ко всей	1	1
41	ничего подобного нет	1	1
42	относится то что	1	1
43	в братьях карамазовых	1	1
44	к тому что	1	1
45	это не просто	1	1
46	как и в	1	1
47	в разговоре с	1	1
