N	2gram	Bakhtin_fo_1	BTomashe
1	у нас	1	3
2	и не	14	2
3	в ней	4	2
4	литературных произведений	1	2
5	все это	4	2
6	во всяком	3	1
7	с другой	2	1
8	вопрос о	2	1
9	является только	1	1
10	совершенно не	2	1
11	и полно	1	1
12	переходя к	1	1
13	в своей	2	1
14	между ними	3	1
15	всяком случае	1	1
16	до конца	4	1
17	и ее	3	1
18	не вполне	1	1
19	в эпоху	1	1
20	и в	50	1
21	так и	12	1
22	для которой	1	1
23	не о	2	1
24	работа по	1	1
25	об этом	2	1
26	по этим	1	1
27	что все	2	1
28	и нет	2	1
29	не было	7	1
30	и во	7	1
31	кроме того	4	1
32	было бы	2	1
33	отнюдь не	5	1
34	необходимо отметить	2	1
35	одной из	3	1
36	было и	4	1
37	далеко не	2	1
38	и потому	3	1
39	в пределах	5	1
40	нет но	2	1
41	в значительной	2	1
42	все же	6	1
43	исторических условиях	1	1
44	забывать что	1	1
45	и более	1	1
46	прежде всего	15	1
47	что в	5	1
48	таким образом	11	1
49	к ней	2	1
50	всего в	1	1
51	еще не	5	1
52	не только	9	1
53	в данном	2	1
54	не следует	1	1
55	и на	8	1
56	исторической поэтике	1	1
57	значительной степени	1	1
58	тем более	1	1
59	а не	3	1
