N	3gram	Nazirov_Vr_1	FransuaR
1	в том что	2	6
2	до сих пор	1	4
3	с точки зрения	2	3
4	в этом отношении	1	3
5	в это время	1	2
6	а между тем	1	1
7	на первый план	1	1
8	но для нас	1	1
9	в мировой литературе	1	1
10	и не может	1	1
11	и во многом	1	1
12	максимальном удалении от	1	1
13	в литературе и	1	1
14	речь идет не	1	1
15	как раз в	2	1
16	его отношения к	1	1
17	но в то	2	1
18	это сама жизнь	1	1
19	но при этом	1	1
20	по нашему мнению	1	1
21	в известном смысле	1	1
22	в связи с	3	1
23	во всяком случае	1	1
24	с другой стороны	1	1
25	как бы в	1	1
26	не может быть	2	1
27	тем самым он	1	1
28	то же время	4	1
29	рыцарь печального образа	1	1
30	они как бы	1	1
31	вышел в свет	1	1
32	в то же	4	1
33	это не просто	1	1
34	но это не	1	1
