N	3gram	Losev_Vlad_1	Dialekti
1	и т д	2	23
2	тем не менее	2	10
3	не только не	1	7
4	что иное как	1	6
5	не может быть	3	6
6	не что иное	1	6
7	вовсе не есть	1	5
8	в самом деле	1	5
9	о том что	7	5
10	на первый план	2	4
11	но что такое	1	4
12	то время как	1	4
13	в то время	2	4
14	и больше ничего	1	4
15	как раз и	2	3
16	с одной стороны	1	3
17	в том что	7	3
18	есть не что	1	3
19	ни в каком	1	3
20	на то что	4	3
21	в сравнении с	1	3
22	потому что его	1	2
23	по одному тому	1	2
24	не говоря уже	1	2
25	но даже и	2	2
26	говоря уже о	1	2
27	веры и знания	1	2
28	субъект и объект	1	2
29	одно и то	1	2
30	и то же	1	2
31	и в этом	1	2
32	с другой стороны	3	2
33	где же тут	1	2
34	во всяком случае	2	2
35	это и есть	1	2
36	что отнюдь не	1	2
37	и что она	1	2
38	к тому что	1	2
39	к тому же	2	2
40	так или иначе	1	2
41	том что в	3	1
42	а следовательно и	1	1
43	из всего этого	1	1
44	потому что в	1	1
45	и той же	1	1
46	кроме того и	1	1
47	мы уже сказали	2	1
48	и в особенности	1	1
49	и по существу	1	1
50	так что в	2	1
51	и не может	1	1
52	так что и	1	1
53	и в то	2	1
54	в этом отношении	1	1
55	как это часто	1	1
56	в науке и	1	1
57	на первом плане	1	1
58	очень и очень	1	1
59	и в частности	2	1
60	все то же	1	1
61	и что в	1	1
62	шеллинг и гегель	1	1
63	если бы мы	1	1
64	что для нас	1	1
65	он не в	1	1
66	не содержит в	1	1
67	это конечно не	1	1
68	ту же тему	1	1
69	и в том	1	1
70	очень мало и	1	1
71	содержит в себе	1	1
72	более или менее	3	1
73	и ни в	1	1
74	ни в чем	1	1
75	то же время	4	1
76	потому что их	1	1
77	и как это	1	1
78	и все это	1	1
79	мы и не	1	1
80	и никогда не	1	1
81	что у него	2	1
82	бы то ни	1	1
83	что все в	1	1
84	то ни было	1	1
85	в то же	4	1
86	в связи с	1	1
87	несмотря на свою	1	1
88	одной и той	1	1
89	все той же	1	1
90	случае не может	1	1
91	во всем его	1	1
92	от отца и	1	1
93	уже о том	1	1
94	в себе не	1	1
95	что и в	2	1
96	выдвигает на первый	1	1
