N	3gram	Propp_Russ_1	Poddanst
1	не только в	1	4
2	в том что	15	4
3	с точки зрения	3	3
4	и не только	1	2
5	в своем значении	1	2
6	том что в	6	1
7	что в этом	2	1
8	в настоящее время	3	1
9	и в этом	1	1
10	но и другие	1	1
11	мы не будем	2	1
12	можно говорить о	1	1
13	в отличие от	1	1
14	и другие народы	1	1
15	в собственном смысле	1	1
16	не связаны с	1	1
17	вместе с тем	6	1
18	том что во	1	1
19	можно думать что	1	1
20	так же как	1	1
21	потому что по	1	1
22	нужно обратиться к	1	1
23	не только как	1	1
24	во всяком случае	1	1
25	сливаются в одно	1	1
26	не более как	1	1
27	но для каждого	1	1
28	в большинстве случаев	2	1
29	можно судить по	1	1
30	друг с другом	1	1
31	более широкой и	1	1
32	во многих случаях	2	1
33	в xix в	10	1
34	и т д	9	1
