N	2gram	Ircho_Kome_2	PoTuStor
1	может быть	11	17
2	и в	26	16
3	в этом	10	9
4	таким образом	6	9
5	мы можем	3	9
6	прежде всего	4	9
7	и с	5	8
8	точки зрения	4	8
9	и его	12	8
10	не может	3	8
11	с его	5	7
12	не только	7	7
13	сказать что	1	7
14	самом деле	1	6
15	конечно не	1	6
16	с точки	1	6
17	и это	2	6
18	для него	1	6
19	и к	2	6
20	еще не	6	5
21	в чем	1	5
22	отношение к	2	5
23	все эти	1	5
24	только для	1	5
25	ни в	5	5
26	нуждается в	1	5
27	как бы	2	5
28	и ее	2	4
29	и на	7	4
30	отнюдь не	2	4
31	но в	3	4
32	в этой	3	4
33	в нем	6	4
34	его в	4	4
35	в один	2	4
36	все это	3	4
37	самого начала	1	4
38	как мы	4	4
39	с самого	2	4
40	так и	12	4
41	но мы	1	4
42	в его	4	4
43	с ними	2	4
44	только в	4	4
45	для всех	3	4
46	и их	3	4
47	так как	4	4
48	и даже	1	4
49	но и	10	4
50	и не	14	4
51	и все	2	4
52	хотя бы	2	4
53	все что	1	4
54	отношения к	1	3
55	тех же	3	3
56	едва ли	14	3
57	во всех	3	3
58	в общем	1	3
59	и есть	2	3
60	и как	1	3
61	с их	4	3
62	на две	1	3
63	и теперь	1	3
64	их в	1	3
65	на этом	2	3
66	этом смысле	2	3
67	том что	9	3
68	во время	6	3
69	сих пор	2	3
70	в одном	2	3
71	в основе	1	3
72	до сих	2	3
73	к себе	1	3
74	по сравнению	1	3
75	в том	11	3
76	в большинстве	1	3
77	только на	1	3
78	большинстве случаев	1	3
79	мы знаем	3	3
80	всяком случае	2	3
81	даже не	3	3
82	в области	1	3
83	вместе с	9	3
84	как это	4	3
85	сравнению с	1	3
86	что в	9	3
87	в этих	4	3
88	а в	3	3
89	то что	6	3
90	между ними	1	3
91	только как	1	3
92	жизни и	3	3
93	во всяком	2	3
94	в самом	4	2
95	и этот	1	2
96	мы не	2	2
97	из сказанного	1	2
98	говорить о	2	2
99	того же	3	2
100	между собой	1	2
101	из этих	4	2
102	конечном счете	1	2
103	нет и	2	2
104	меньше всего	4	2
105	с этим	5	2
106	что это	4	2
107	современной ему	2	2
108	он не	2	2
109	то же	3	2
110	по своему	2	2
111	связанных с	2	2
112	на протяжении	10	2
113	и мы	1	2
114	было бы	8	2
115	в жизни	1	2
116	по всему	3	2
