N	2gram	Nazirov_Tv_2	Analitik
1	в тексте	1	24
2	тогда как	3	19
3	в этом	8	18
4	не только	13	16
5	и в	20	16
6	в частности	2	16
7	так и	6	15
8	как и	6	14
9	своего рода	3	12
10	но и	8	12
11	и не	9	12
12	том что	4	12
13	в том	8	12
14	при этом	8	10
15	могут быть	2	10
16	а не	6	10
17	как бы	11	10
18	в этой	5	9
19	лишь в	1	9
20	ничего не	4	9
21	в пределах	1	9
22	и даже	5	9
23	то есть	5	9
24	в целом	6	8
25	представляет собой	1	8
26	не случайно	2	8
27	отнюдь не	4	8
28	особенно в	2	7
29	к тому	1	7
30	о том	5	7
31	в себе	3	7
32	художественного целого	1	7
33	то что	3	7
34	в самом	3	6
35	и на	5	6
36	но в	4	6
37	в мире	5	6
38	говорить о	2	6
39	может быть	8	6
40	с другой	2	6
41	как это	1	6
42	на себя	1	5
43	и к	1	5
44	произведения в	1	5
45	с одной	1	5
46	по преимуществу	2	4
47	в поле	1	4
48	столь же	1	4
49	как правило	2	4
50	но не	5	4
51	по отношению	3	4
52	как в	4	4
53	хотя и	4	4
54	в себя	1	4
55	тому же	2	4
56	читателя в	5	4
57	уже говорилось	1	4
58	то же	7	4
59	не с	1	4
60	тем самым	4	4
61	для него	3	4
62	в ходе	1	4
63	не в	4	4
64	в конце	6	4
65	и является	1	4
66	не менее	2	4
67	во второй	1	4
68	во всех	1	4
69	только в	2	4
70	и его	9	4
71	уже не	3	4
72	в сознании	1	4
73	не так	2	4
74	у него	6	4
75	как раз	1	4
76	не может	7	4
77	и особенно	1	4
78	в позицию	1	4
79	все это	6	4
80	в один	1	4
81	отношению к	3	4
82	едва ли	2	3
83	в их	3	3
84	в конечном	1	3
85	со смертью	1	3
86	не был	1	3
87	ответ на	1	3
88	как уже	1	3
89	на его	4	3
90	и если	2	3
91	и сам	5	3
92	содержит в	1	3
93	главного героя	3	3
94	несмотря на	1	3
95	автора и	1	3
96	не мог	1	3
97	в эту	1	3
98	место в	3	3
99	не столько	2	3
100	на фоне	1	3
101	по крайней	2	3
102	на себе	1	3
103	как о	2	3
