N	3gram	Medvedev_S_1	Tvorches
1	в то же	1	13
2	то же время	1	12
3	в том что	2	6
4	в конечном счете	1	4
5	что все это	1	3
6	в наше время	1	2
7	по крайней мере	1	2
8	и в то	1	2
9	о литературе о	1	1
10	не может не	1	1
11	чуть ли не	1	1
12	и наконец в	1	1
13	в настоящее время	1	1
14	вот в чем	1	1
15	то же самое	1	1
16	по отношению к	2	1
17	все же это	1	1
18	только то что	1	1
19	то что в	1	1
20	это вовсе не	1	1
21	в этой области	1	1
22	с одной стороны	1	1
23	в конце концов	2	1
24	в связи с	1	1
25	бы он ни	1	1
26	дело не в	2	1
