N	2gram	Tiupa_Anal_1	Formalny
1	и в	18	38
2	в этом	13	27
3	может быть	29	23
4	и его	5	21
5	таким образом	3	20
6	и не	21	20
7	в самом	6	16
8	не в	14	15
9	прежде всего	6	15
10	и т	3	14
11	не может	22	14
12	в нем	3	13
13	связи с	1	13
14	но и	17	13
15	в пределах	2	12
16	языка и	1	12
17	с его	3	11
18	с тем	1	11
19	в том	27	11
20	языка как	1	11
21	вовсе не	2	11
22	с другими	4	10
23	в его	13	10
24	в связи	1	10
25	не только	15	9
26	при этом	12	9
27	и с	2	9
28	как и	13	9
29	т п	3	9
30	в процессе	2	9
31	язык как	1	8
32	самом деле	2	8
33	отнюдь не	15	8
34	все же	4	8
35	точки зрения	6	8
36	так и	4	8
37	что и	3	8
38	в первом	2	7
39	как мы	2	7
40	лишь в	5	7
41	по себе	4	7
42	для него	2	7
43	в своей	6	7
44	с точки	4	7
45	во втором	1	7
46	уже не	4	7
47	этом отношении	2	7
48	не могут	3	7
49	что в	5	7
50	художественного произведения	5	6
51	и ее	1	6
52	в ней	1	6
53	все эти	2	6
54	в этой	5	6
55	то же	9	6
56	было бы	2	6
57	он не	3	6
58	в их	5	6
59	могут быть	4	6
60	все время	1	6
61	только в	6	6
62	то что	6	6
63	не было	1	6
64	вместе с	4	6
65	а не	17	6
66	речевого общения	1	6
67	как раз	1	6
68	в результате	1	6
69	истории литературы	4	6
70	хотя бы	3	6
71	а в	9	6
72	по преимуществу	1	5
73	должна быть	1	5
74	во всех	1	5
75	в то	9	5
76	в основе	6	5
77	же время	6	5
78	если бы	3	5
79	сводится к	5	5
80	и должно	1	5
81	и только	1	5
82	что он	3	5
83	всяком случае	1	5
84	языка а	1	5
85	именно в	4	5
86	что же	2	5
87	более того	3	5
88	и для	1	5
89	или иного	3	5
90	во всяком	1	5
91	в сущности	6	4
92	литературы и	1	4
93	что оно	1	4
94	в сторону	1	4
95	независимо от	1	4
96	как в	1	4
97	и наконец	1	4
98	и к	3	4
99	не следует	4	4
100	не как	1	4
101	его от	1	4
102	от нее	1	4
103	материала и	1	4
104	входит в	1	4
105	не столько	2	4
106	раз и	1	4
107	ничего не	1	4
108	к тому	7	4
109	здесь не	2	4
110	того или	3	4
111	но в	8	4
112	что не	3	4
113	из них	2	4
114	так как	2	4
115	не о	2	4
116	в особенности	1	4
117	и даже	1	4
118	другой стороны	2	4
119	на фоне	2	4
120	как бы	5	4
121	совершенно не	1	4
122	оно не	1	4
123	они не	1	4
124	например в	1	3
125	сам по	1	3
126	и до	2	3
127	в зависимости	1	3
128	а как	2	3
129	мы не	1	3
130	зависимости от	1	3
131	и на	5	3
132	в сюжете	1	3
133	не входит	1	3
134	если в	3	3
135	как к	2	3
136	однако не	3	3
137	хотя и	1	3
138	и как	5	3
139	не приходится	1	3
140	что это	1	3
141	в целом	5	3
142	из этих	2	3
143	роль в	2	3
144	только на	1	3
145	всех этих	1	3
146	смысла в	2	3
147	и может	1	3
148	его в	1	3
149	в художественную	1	3
150	в ином	1	3
151	для них	1	3
152	литературного произведения	41	3
153	он и	1	3
154	такой же	2	3
155	следует что	2	3
156	к предмету	2	3
157	место в	3	3
158	однако и	1	3
159	произведения а	1	3
160	не является	2	3
161	в области	4	3
162	но все	1	3
163	его с	1	3
164	не есть	8	3
165	можно и	1	3
166	того чтобы	3	3
167	особенно в	2	3
168	произведения не	1	3
169	одного из	2	3
170	к действительности	1	3
171	к нему	3	3
172	того что	4	3
173	в какой	2	3
174	то и	1	3
175	слова в	1	3
176	каждый из	2	3
177	для того	4	3
178	исходили из	1	3
179	с другой	4	3
180	а о	1	3
181	от смысла	1	3
182	и др	1	3
183	речи и	1	3
184	быть и	1	3
185	на самом	2	3
186	или в	1	3
187	и все	3	3
188	была бы	2	3
189	о литературе	3	3
190	жизни и	1	3
191	язык может	1	2
192	в такой	1	2
193	и то	2	2
194	науки о	2	2
195	самый предмет	1	2
196	между двумя	3	2
197	явления и	1	2
198	едва ли	2	2
199	было и	1	2
200	по аналогии	1	2
201	при анализе	1	2
202	совпадает с	2	2
203	он был	1	2
204	в широком	4	2
205	столь же	4	2
206	но не	10	2
207	но как	1	2
208	а только	1	2
209	отношение к	2	2
210	отличие от	6	2
211	что именно	2	2
212	в художественном	3	2
213	перед нами	1	2
214	то в	2	2
215	со своей	1	2
216	та же	1	2
217	в которой	2	2
218	он в	1	2
219	в рамки	1	2
220	литературных произведений	1	2
221	состоит в	11	2
222	не к	2	2
223	в понятии	1	2
224	широком смысле	2	2
225	и более	4	2
226	языком и	1	2
227	из него	1	2
228	и по	2	2
229	на этом	2	2
230	без исключения	1	2
231	в основу	1	2
232	то ни	3	2
233	том случае	1	2
234	говорить не	1	2
235	и иных	1	2
236	и тем	1	2
237	ни в	4	2
238	произведение как	1	2
239	от него	1	2
240	должно быть	2	2
241	смысл и	3	2
242	том что	12	2
243	на первый	1	2
244	в этих	1	2
245	не так	1	2
246	в отличие	6	2
247	как их	1	2
248	их в	1	2
249	произведения в	11	2
250	для этого	2	2
251	даже в	3	2
252	тому что	1	2
253	тем самым	7	2
254	все без	1	2
255	никогда не	2	2
256	на котором	1	2
257	слова как	1	2
258	этих двух	1	2
259	всего в	1	2
260	и о	2	2
261	на нем	1	2
262	в ее	1	2
263	в в	1	2
264	и от	1	2
265	пусть и	1	2
