N	3gram	Ircho_Kome_2	Formalny
1	не может быть	1	10
2	в связи с	3	10
3	и т п	2	9
4	с точки зрения	1	7
5	в самом деле	1	5
6	то же время	3	5
7	в то же	3	5
8	во всяком случае	2	5
9	вместе с тем	4	4
10	как мы видели	1	4
11	того или иного	1	4
12	и в то	1	3
13	но и в	1	3
14	в большинстве случаев	1	3
15	с другой стороны	1	3
16	так и в	1	3
17	связи с этим	1	3
18	хотя бы в	1	3
19	для того чтобы	4	3
20	в какой мере	1	2
21	в этом смысле	2	2
22	на первый план	1	2
23	это время и	1	2
24	как это было	1	2
25	в отличие от	2	2
26	в том случае	1	2
27	что в нем	1	2
28	с самого начала	1	2
29	но в этом	1	2
30	но все же	1	2
31	к тому что	2	2
32	в том что	5	2
33	как мы знаем	1	2
34	поэтому когда в	1	1
35	как например в	1	1
36	сводится к тому	1	1
37	по этому вопросу	1	1
38	более или менее	1	1
39	не говоря уже	2	1
40	сравнивая его с	1	1
41	тому что и	1	1
42	это было в	1	1
43	с одной стороны	2	1
44	в одной из	2	1
45	только в том	1	1
46	до сих пор	2	1
47	говоря уже о	2	1
48	что он не	1	1
49	может быть даже	1	1
50	только тем что	1	1
51	вместе с ними	1	1
52	том случае если	1	1
53	же что и	1	1
54	в этой области	1	1
55	на задний план	1	1
56	в той же	2	1
57	бы столь же	1	1
58	так или иначе	3	1
59	и еще более	1	1
60	то что он	2	1
61	чуть ли не	2	1
62	так и для	1	1
63	бы то ни	2	1
64	ничего этого нет	1	1
65	и к их	1	1
66	мере в какой	1	1
67	к отказу от	1	1
68	и во всяком	1	1
69	не было бы	1	1
70	она могла бы	1	1
71	то на что	1	1
72	тем обстоятельством что	1	1
73	только в связи	1	1
74	всяком случае в	1	1
75	в свою очередь	1	1
76	едва ли можно	3	1
77	но все эти	1	1
78	не похож на	1	1
79	его от всех	1	1
80	тем не менее	1	1
81	семейной жизни и	1	1
82	что и в	2	1
