N	2gram	Berdyaev_O_1	FransuaR
1	и в	19	41
2	в этом	12	15
3	как и	6	14
4	и все	10	14
5	все эти	4	13
6	в этой	5	13
7	в его	7	12
8	в себе	3	11
9	в том	5	11
10	прежде всего	9	11
11	так и	2	10
12	никто не	3	10
13	все это	6	10
14	в своем	2	9
15	не в	11	9
16	и его	4	9
17	но и	13	9
18	что в	4	9
19	движение в	2	8
20	но в	2	8
21	в конце	1	8
22	то что	5	8
23	и от	3	8
24	в нем	10	7
25	в эпоху	1	7
26	вовсе не	1	7
27	в них	1	7
28	как бы	3	7
29	и не	13	7
30	и до	1	6
31	о том	3	6
32	это не	3	6
33	для него	5	6
34	у него	22	6
35	как в	1	5
36	и к	2	5
37	не только	11	5
38	того как	1	5
39	потому что	9	5
40	всего в	2	5
41	и это	1	5
42	в ней	1	5
43	к нему	3	5
44	уже в	2	5
45	что и	2	5
46	и для	2	5
47	а в	5	5
48	к этому	2	5
49	в сущности	1	4
50	момент в	2	4
51	и на	2	4
52	хотя и	2	4
53	та же	1	4
54	что это	1	4
55	он не	7	4
56	на земле	4	4
57	и с	2	4
58	должно быть	2	4
59	том что	2	4
60	одном из	1	4
61	но он	7	4
62	одна из	1	4
63	ничего не	2	4
64	в виду	1	4
65	и здесь	1	4
66	после того	1	4
67	может быть	11	4
68	было бы	3	4
69	мира в	1	4
70	все что	3	4
71	например в	1	3
72	и есть	3	3
73	из самых	1	3
74	он был	8	3
75	совсем не	2	3
76	от этого	1	3
77	в мире	1	3
78	его в	2	3
79	в своей	2	3
80	оказывается что	1	3
81	захватывает и	1	3
82	в отношении	1	3
83	не имеет	2	3
84	тем что	2	3
85	ведь все	1	3
86	с образом	1	3
87	легенды о	1	3
88	можно было	1	3
89	что у	2	3
90	о нем	1	3
91	все его	1	3
92	это была	1	3
93	в форме	1	3
94	что он	3	3
95	из них	1	3
96	в одном	1	3
97	так как	2	3
98	не было	9	3
99	но есть	1	3
100	не может	4	3
101	видели в	1	3
102	и потому	2	3
103	в человеческом	2	3
104	в это	1	3
105	но это	1	3
106	с ними	1	3
107	которым он	1	3
108	жизни и	1	3
109	и эта	1	3
110	ту же	1	2
111	также и	1	2
112	и то	2	2
113	на самом	1	2
114	из всех	1	2
115	есть не	1	2
116	он знает	1	2
117	мы не	1	2
118	в которой	2	2
119	еще не	3	2
120	с его	4	2
121	отношение к	5	2
122	в одной	1	2
123	учение о	2	2
124	они в	1	2
125	и вот	3	2
126	человека в	11	2
127	что все	2	2
128	это было	3	2
129	в этих	3	2
130	места в	1	2
131	том как	1	2
132	в глубь	2	2
133	что есть	2	2
134	дело в	1	2
135	в процессе	1	2
136	человек может	1	2
137	и иллюзий	1	2
138	этой речи	1	2
139	этом отношении	1	2
140	они и	1	2
141	не есть	2	2
142	никогда не	9	2
143	особенно в	1	2
144	в разных	1	2
145	находится в	1	2
146	бы в	1	2
147	еще более	1	2
148	все время	1	2
149	того что	3	2
150	и ее	3	2
151	со всеми	1	2
152	уже не	1	2
153	и других	1	2
154	к человеку	9	2
155	это движение	1	2
156	связан с	1	2
157	был в	1	2
158	до конца	7	2
159	а не	11	2
160	его как	1	2
161	в человеке	9	2
162	вокруг которого	1	2
163	бессмертия и	1	2
164	в силах	1	2
165	интерес к	1	2
166	и как	1	2
167	с ним	3	2
168	для нашего	1	2
169	в свое	1	2
170	во всяком	1	2
171	отношения к	1	1
172	человека и	10	1
173	и через	1	1
174	сам по	1	1
175	самом деле	1	1
176	между двумя	1	1
177	уже указывали	1	1
178	должна быть	1	1
179	его не	2	1
180	динамично все	1	1
181	в первый	1	1
182	и проклятие	1	1
183	бессмертии души	1	1
184	бы ни	1	1
185	о судьбе	1	1
186	нем все	1	1
187	он сам	4	1
188	за это	1	1
189	там и	1	1
190	в ее	2	1
191	но не	1	1
192	к которой	1	1
193	в новом	1	1
194	себе и	1	1
195	жизни все	3	1
196	человеку и	5	1
197	что они	2	1
198	в истории	2	1
199	в центре	1	1
200	что во	1	1
201	личности всегда	1	1
202	и нет	2	1
203	все же	2	1
204	от народной	1	1
205	дается в	1	1
206	глубь человеческого	1	1
207	силе и	1	1
208	легенде о	3	1
209	жизни есть	1	1
210	женщинами и	1	1
