N	2gram	Savitsky_E_1	Hudozhes
1	в мире	2	23
2	в качестве	14	19
3	то есть	6	18
4	состоит в	1	16
5	и не	14	16
6	не только	18	15
7	и в	37	15
8	в том	11	15
9	тогда как	1	13
10	может быть	6	13
11	в частности	5	13
12	при этом	1	12
13	и его	1	12
14	а в	2	12
15	но не	5	11
16	в этом	12	11
17	в себе	9	11
18	то же	15	10
19	по отношению	1	10
20	представляет собой	3	10
21	как бы	6	10
22	так и	10	10
23	а не	2	10
24	но и	14	10
25	точки зрения	23	9
26	в его	2	9
27	в рамках	1	8
28	сводится к	1	8
29	отличие от	1	7
30	но в	14	7
31	в принципе	1	7
32	в отличие	1	7
33	в то	16	7
34	или иной	4	7
35	с другой	7	7
36	с его	1	6
37	том что	6	6
38	не в	5	6
39	в основе	1	6
40	же время	14	6
41	по своей	2	6
42	в ее	8	6
43	в состав	1	6
44	не сводится	1	6
45	не может	9	6
46	что в	21	6
47	в их	11	5
48	более или	1	5
49	в самом	4	5
50	то что	6	5
51	тем самым	5	5
52	могут быть	2	5
53	той или	4	5
54	с ее	1	5
55	можно сказать	4	5
56	а также	7	5
57	того что	7	5
58	только в	9	5
59	уже не	1	5
60	между ними	2	5
61	другой стороны	2	5
62	или менее	1	5
63	в нем	1	5
64	и то	2	4
65	место в	3	4
66	говорить о	1	4
67	хотя и	2	4
68	и как	2	4
69	он не	2	4
70	и тем	3	4
71	в этих	2	4
72	в своей	8	4
73	входит в	1	4
74	между тем	8	4
75	для него	1	4
76	со стороны	5	4
77	к которому	1	4
78	прежде всего	9	4
79	а на	1	4
80	как это	4	4
81	например в	1	4
82	к тому	8	4
83	особого рода	1	4
84	сказать что	4	4
85	того же	3	3
86	перед лицом	1	3
87	всех и	1	3
88	и ее	1	3
89	и к	3	3
90	или иного	4	3
91	всего лишь	3	3
92	лишь в	1	3
93	этом смысле	3	3
94	к области	1	3
95	как и	7	3
96	иначе говоря	2	3
97	одного и	1	3
98	с точки	17	3
99	в культуре	3	3
100	в отношении	32	3
101	не менее	1	3
102	потому что	3	3
103	имеет место	2	3
104	не будет	3	3
105	в пределах	25	3
106	мог бы	2	3
107	если бы	2	3
108	и что	2	3
109	того или	4	3
110	к нему	2	3
111	во втором	2	3
112	во всей	2	3
113	и того	2	3
114	в области	11	3
115	являет собой	1	3
116	далеко не	2	3
117	не на	4	3
118	человеческой жизни	1	3
119	по своему	7	3
120	в данном	3	3
121	в той	5	3
122	и для	3	3
123	таким образом	2	3
124	в свою	3	3
125	в таком	3	3
126	и это	1	2
127	идет о	3	2
128	по преимуществу	2	2
129	противном случае	1	2
130	из перечисленных	1	2
131	и на	6	2
132	чем это	1	2
133	но как	2	2
134	за пределы	1	2
135	человеческого бытия	1	2
136	в своем	14	2
137	в противном	1	2
138	все эти	1	2
139	в нашем	1	2
140	в этой	2	2
141	с их	1	2
142	но на	3	2
143	не как	1	2
144	в силу	2	2
145	этом мире	1	2
146	на этом	1	2
147	значительной степени	1	2
148	единое целое	1	2
149	об этом	1	2
150	времени в	1	2
151	по себе	4	2
152	некоторые иные	1	2
153	в них	3	2
154	несмотря на	4	2
155	жизни но	1	2
156	с другими	2	2
157	и некоторые	3	2
158	известной степени	3	2
159	от себя	1	2
160	к такой	2	2
161	и более	2	2
162	вовсе не	6	2
163	даже в	4	2
164	тому что	1	2
165	одна из	1	2
166	и притом	4	2
167	не является	3	2
168	числе и	1	2
169	оно не	1	2
170	для себя	1	2
171	и о	1	2
172	того чтобы	6	2
173	свою очередь	2	2
174	к жизни	1	2
175	и сам	1	2
176	что может	1	2
177	или в	2	2
178	в порядке	2	2
179	о том	3	2
180	в значительной	2	2
181	существования в	3	2
182	однако с	1	2
183	именно в	4	2
184	способность к	1	2
185	а именно	2	2
186	мире и	1	2
187	с одной	8	2
188	есть в	2	2
189	одно из	1	2
190	и прежде	3	2
191	в одном	2	2
192	для того	6	2
193	или иначе	1	2
194	одной стороны	8	2
195	мира в	4	2
196	ни столь	2	2
197	в сторону	2	2
198	начиная с	2	2
199	так же	9	2
200	и потому	5	2
201	как в	3	2
