N	2gram	Losev_Prob_1	Russkaja
1	не может	8	22
2	и не	31	19
3	в том	9	17
4	в этом	19	17
5	и в	32	14
6	то что	42	13
7	то же	10	11
8	точки зрения	3	11
9	таким образом	6	11
10	в то	6	10
11	но и	9	10
12	в себе	15	9
13	не только	17	9
14	том что	12	9
15	с точки	3	9
16	может быть	14	9
17	во всяком	7	9
18	того чтобы	9	8
19	прежде всего	10	8
20	как на	1	8
21	самом деле	6	7
22	отнюдь не	10	7
23	и если	6	7
24	и с	2	7
25	в данном	9	7
26	к тому	3	7
27	не будет	2	7
28	о том	11	7
29	мы должны	5	7
30	ни к	1	7
31	если в	1	6
32	в своем	5	6
33	и к	1	6
34	в россии	1	6
35	с тем	5	6
36	и при	2	6
37	признать что	1	6
38	если бы	4	6
39	все это	7	6
40	и для	4	6
41	для того	8	6
42	что он	7	6
43	всяком случае	3	6
44	для всех	1	6
45	для него	2	6
46	на самом	6	6
47	а между	1	5
48	вопрос о	1	5
49	и на	8	5
50	во имя	1	5
51	во всех	7	5
52	на то	8	5
53	в нем	13	5
54	при этом	6	5
55	он не	3	5
56	он должен	2	5
57	было бы	8	5
58	в своей	8	5
59	никогда не	7	5
60	потому что	16	5
61	между тем	2	5
62	а потому	2	5
63	и только	4	5
64	только в	7	5
65	хотя бы	3	5
66	конечно не	1	5
67	в последние	1	5
68	или иной	5	5
69	до сих	3	5
70	из которых	1	5
71	по существу	2	5
72	сих пор	3	5
73	а в	4	5
74	и то	6	4
75	смотреть на	1	4
76	бы то	1	4
77	но не	9	4
78	себя в	1	4
79	все же	1	4
80	более или	3	4
81	не в	4	4
82	в этой	10	4
83	тому чтобы	1	4
84	то ни	1	4
85	в совершенно	1	4
86	его в	6	4
87	как и	3	4
88	или менее	3	4
89	в их	4	4
90	тогда когда	1	4
91	от того	1	4
92	не могут	2	4
93	идет речь	1	4
94	можно было	3	4
95	в его	6	4
96	так как	11	4
97	со стороны	1	4
98	вместе с	2	4
99	он будет	2	4
100	что же	9	4
101	как бы	14	4
102	в другое	1	4
103	отказаться от	1	4
104	жизни и	1	4
105	что в	12	4
106	к этой	1	4
107	и т	11	3
108	то в	5	3
109	и этот	1	3
110	так чтобы	1	3
111	говорить о	6	3
112	и ни	4	3
113	еще не	9	3
114	он сам	2	3
115	из этих	2	3
116	что они	3	3
117	во что	1	3
118	в самом	6	3
119	что это	3	3
120	ни одна	1	3
121	на том	4	3
122	был и	1	3
123	в другом	1	3
124	лишь в	1	3
125	для них	2	3
126	о которых	3	3
127	несмотря на	3	3
128	должно быть	2	3
129	всех этих	7	3
130	но если	2	3
131	мы говорили	4	3
132	знаем что	2	3
133	том чтобы	1	3
134	можно ли	5	3
135	одна из	1	3
136	связи с	5	3
137	в сознании	5	3
