N	3gram	Tiupa_Disk_1	Sovremen
1	с точки зрения	1	5
2	не может быть	3	4
3	с самого начала	1	3
4	тем не менее	1	2
5	во всяком случае	1	2
6	в отличие от	4	2
7	в свою очередь	3	2
8	времени и пространства	1	2
9	то же самое	2	2
10	и может быть	1	1
11	в известном смысле	1	1
12	одной стороны и	2	1
13	по крайней мере	2	1
14	его таким образом	1	1
15	в которой он	1	1
16	не в том	3	1
17	одни и те	1	1
18	в связи с	1	1
19	в этом направлении	1	1
20	дело в том	1	1
21	по отношению к	9	1
22	на самом деле	1	1
23	в новое время	1	1
24	в этом смысле	1	1
25	а не только	2	1
26	в свое время	1	1
27	в этом случае	1	1
28	до наших дней	1	1
29	под углом зрения	1	1
30	смысле можно говорить	1	1
31	до сих пор	1	1
32	то же время	4	1
33	тот или иной	2	1
34	и в то	1	1
35	необходимо отметить что	1	1
36	сами по себе	2	1
37	по аналогии с	1	1
38	но отнюдь не	2	1
39	в конечном счете	1	1
40	и те же	1	1
41	и не может	1	1
42	к одному и	1	1
43	той или иной	3	1
44	и прежде всего	1	1
45	но все же	1	1
46	заключать в себе	1	1
47	был прежде всего	1	1
48	в том случае	1	1
49	в то же	3	1
50	в том что	13	1
51	в данном случае	2	1
52	может быть в	1	1
53	с одной стороны	9	1
54	именно в том	1	1
55	самого начала мы	1	1
