N	3gram	Bakhtin_Fr_7	Vvedenie
1	в том что	3	12
2	о том что	1	12
3	в этом смысле	1	8
4	в применении к	1	6
5	то же время	9	6
6	в то же	9	6
7	не трудно видеть	1	5
8	что иное как	1	4
9	по отношению к	2	4
10	в этом отношении	2	4
11	можно было бы	2	4
12	на этот вопрос	1	4
13	в данном случае	1	4
14	не только в	1	4
15	и в этом	1	4
16	во всяком случае	1	4
17	не что иное	1	4
18	с тем что	1	3
19	но в то	3	3
20	и в том	1	3
21	и в самом	1	3
22	как мы видели	4	3
23	в свое время	2	3
24	потому что он	1	2
25	до наших дней	1	2
26	что в этом	1	2
27	в чем же	1	2
28	на котором он	1	2
29	дело в том	2	2
30	во второй половине	1	2
31	то же самое	1	2
32	с точки зрения	3	2
33	что в нем	1	2
34	в известной мере	1	2
35	имеет дело с	1	2
36	дело не с	1	2
37	в конце концов	4	2
38	в связи с	1	2
39	а также и	1	2
40	есть не что	1	2
41	как мы уже	1	2
42	по этому поводу	1	2
43	мы уже знаем	1	2
44	и есть то	2	1
45	в эпоху возрождения	1	1
46	прежде всего в	4	1
47	более или менее	2	1
48	имеем в виду	2	1
49	на самом деле	1	1
50	в том же	1	1
51	этой традиции и	1	1
52	в нем все	1	1
53	сам по себе	1	1
54	но и в	1	1
55	потому что это	1	1
56	дошедших до нас	1	1
57	находит свое выражение	1	1
58	в гораздо большей	1	1
59	том или ином	1	1
60	и не в	1	1
61	все то что	3	1
62	имеет дело не	1	1
63	в том или	1	1
64	точки зрения совершенно	1	1
65	в первом случае	1	1
66	мы имеем в	2	1
67	большую или меньшую	1	1
68	только после того	1	1
69	нечто замкнутое и	1	1
70	уже и в	1	1
71	из которой состоит	1	1
72	о котором мы	1	1
73	дошедшие до нас	1	1
74	тем что в	1	1
75	и до наших	1	1
76	у него в	1	1
77	то обстоятельство что	1	1
78	роста и развития	1	1
79	имел в виду	1	1
80	таким образом мы	1	1
81	одним из самых	1	1
82	при помощи которого	1	1
83	в свою очередь	3	1
84	только в их	1	1
85	в них и	1	1
86	с самого начала	1	1
87	нужно сказать что	1	1
88	и прежде всего	1	1
89	именно потому что	1	1
90	среди них были	1	1
91	как мы видим	3	1
92	ближе всего к	1	1
93	же время в	1	1
94	после того как	4	1
95	было бы сказать	1	1
96	второй половине xix	1	1
97	того что находится	1	1
98	в средние века	4	1
99	все же в	1	1
100	не в этом	1	1
