N	2gram	Medvedev_V_1	Morfolog
1	и в	2	13
2	в этом	1	13
3	так как	1	12
4	то же	1	9
5	и не	1	9
6	по существу	1	8
7	в том	2	6
8	далеко не	1	5
9	потому что	1	5
10	самом деле	1	3
11	к чему	1	3
12	том что	2	3
13	но это	1	3
14	в другом	1	2
15	имеется в	1	2
16	и его	1	2
17	ясно что	1	2
18	ни к	1	2
19	и только	1	2
20	хотя бы	1	2
21	только в	1	2
22	от других	1	2
23	в частности	1	2
24	к этому	1	2
25	и то	1	1
26	веселовский с	1	1
27	более чем	1	1
28	главным образом	1	1
29	одно и	1	1
30	других и	1	1
31	в их	1	1
32	все это	1	1
33	то чего	1	1
34	вызвать только	1	1
35	веселовского этот	1	1
36	на одном	1	1
37	их как	1	1
38	даже не	1	1
39	именно в	1	1
40	как же	1	1
41	же с	1	1
42	не будем	1	1
43	что способы	1	1
44	с большой	1	1
