N	3gram	Bakhtin_Pr_1	SlovoVZh
1	по отношению к	11	11
2	не может быть	3	7
3	можно сказать что	2	5
4	дело в том	1	4
5	как если бы	1	4
6	в том что	7	4
7	и не может	2	3
8	и по отношению	1	3
9	бы то ни	3	3
10	может быть и	1	3
11	этой точки зрения	1	3
12	до сих пор	2	3
13	то ни было	2	3
14	в художественном произведении	1	3
15	это не так	1	2
16	смысл и значение	1	2
17	на самом деле	3	2
18	с другой стороны	2	2
19	то же самое	1	2
20	с точки зрения	15	2
21	в зависимости от	3	2
22	до известной степени	1	2
23	в отношении к	1	2
24	в данном случае	2	2
25	не довлеет себе	1	2
26	тех или иных	1	1
27	зависимости от того	1	1
28	так именно и	1	1
29	самом деле это	1	1
30	но все же	1	1
31	для него не	1	1
32	но конечно эта	1	1
33	и в этом	3	1
34	является таким образом	1	1
35	была бы разрешена	1	1
36	все же не	1	1
37	важно не то	1	1
38	бы оно ни	1	1
39	какой бы то	1	1
40	то время как	1	1
41	друг к другу	1	1
42	во всяком случае	3	1
43	как существенный момент	1	1
44	так как в	1	1
45	в самом деле	2	1
46	в этом смысле	9	1
47	свое выражение в	1	1
48	нам кажется что	2	1
49	между тем как	4	1
50	же как и	1	1
51	и для него	1	1
52	в нем и	1	1
53	то что для	1	1
54	в то время	2	1
55	а не к	1	1
56	оно ни было	1	1
57	деле это не	1	1
58	приходится признать что	1	1
59	отношению к автору	1	1
60	если бы действительно	1	1
61	равно как и	1	1
62	точками зрения на	1	1
63	сами по себе	3	1
64	же время не	2	1
65	здесь мы должны	1	1
66	от того в	1	1
67	отношению к герою	1	1
68	о том что	2	1
69	только то что	2	1
70	в этом отношении	5	1
71	но несмотря на	1	1
72	искусства и в	1	1
73	в творчестве достоевского	4	1
74	с самого начала	2	1
75	то что я	1	1
76	несмотря на это	1	1
77	можно было бы	3	1
78	то же время	7	1
79	подобно тому как	3	1
80	но в них	1	1
81	как мы уже	2	1
82	в противном случае	1	1
83	в лучшем случае	2	1
84	они ни были	1	1
85	или может быть	1	1
86	социальной атмосферы вокруг	1	1
87	в процессе этого	1	1
88	может быть только	1	1
89	по крайней мере	2	1
90	в то же	7	1
91	точек зрения и	1	1
92	записок из подполья	3	1
93	и в частности	1	1
94	может быть понято	1	1
95	в том и	1	1
96	так и к	1	1
97	и тогда когда	1	1
98	в значительной степени	1	1
99	один миг не	1	1
100	и в нем	1	1
101	место в творчестве	1	1
102	чтобы убедиться в	1	1
103	том что все	1	1
104	так же как	1	1
105	и на события	1	1
106	не совпадает с	1	1
107	не только его	1	1
108	она не может	1	1
109	позицию по отношению	1	1
110	но в то	2	1
111	того в каком	1	1
112	это прежде всего	1	1
113	автора по отношению	1	1
114	и делает его	1	1
115	в высшей степени	1	1
116	в целом художественного	1	1
117	можно найти только	1	1
