N	2gram	Voloshinov_1	UchenyiS
1	и в	16	14
2	а не	1	10
3	не только	7	10
4	и не	4	8
5	прежде всего	9	8
6	в этом	9	7
7	не может	8	7
8	то что	3	7
9	может быть	17	6
10	и только	9	5
11	все это	4	5
12	то же	2	5
13	хотя бы	4	5
14	художественного творчества	4	5
15	что такое	5	4
16	конечном счете	2	4
17	с другой	1	4
18	конечно не	6	4
19	в конечном	3	4
20	но и	4	4
21	в этой	4	4
22	у нас	1	3
23	бы то	1	3
24	в своей	2	3
25	все же	1	3
26	то ни	1	3
27	в частности	2	3
28	к сожалению	1	3
29	для этого	2	3
30	не следует	1	3
31	в области	3	3
32	для него	6	3
33	но в	4	3
34	и то	1	3
35	было бы	2	3
36	и т.д	1	3
37	ни было	2	3
38	как и	2	3
39	и через	2	2
40	сводится к	2	2
41	для всех	4	2
42	форму и	1	2
43	и с	8	2
44	не случайно	1	2
45	нас в	1	2
46	мы и	1	2
47	в итоге	2	2
48	но не	1	2
49	с его	7	2
50	ничего не	1	2
51	при таком	1	2
52	этом смысле	3	2
53	и для	2	2
54	даже и	1	2
55	т.е в	2	2
56	крайней мере	3	2
57	что она	1	2
58	это было	1	2
59	что он	2	2
60	формы и	1	2
61	в том	3	2
62	только в	4	2
63	конечно нет	1	2
64	таким образом	9	2
65	это уже	1	2
66	на первый	2	2
67	но даже	1	2
68	что и	2	2
69	по крайней	3	2
70	в его	4	2
71	сих пор	3	2
72	если бы	1	2
73	как раз	1	2
74	могут быть	3	2
75	что мы	2	2
76	художественной формы	1	2
77	его и	1	2
78	же самое	1	2
79	в самом	2	2
80	самом деле	6	2
81	мы не	2	2
82	этом отношении	1	2
83	в конце	1	2
84	но это	2	2
85	не есть	2	2
86	том что	3	2
87	не могут	2	2
88	до сих	3	2
89	в некоторых	1	2
90	из цельного	1	1
91	то и	1	1
92	точно и	1	1
93	что по	1	1
94	друг с	1	1
95	методом и	1	1
96	и что	1	1
97	связанные с	2	1
98	есть ли	1	1
99	в качестве	1	1
100	он не	2	1
101	что при	1	1
102	только одним	1	1
103	почти не	2	1
104	с другом	1	1
105	деле есть	1	1
106	отсюда и	1	1
107	него уже	1	1
108	отнюдь не	4	1
109	заслуги конечно	1	1
110	приводит к	1	1
111	все что	4	1
112	не входит	1	1
113	на его	1	1
114	с тем	1	1
115	он может	1	1
116	представлениями и	2	1
117	тот же	1	1
118	еще одно	1	1
119	этой же	1	1
120	что было	1	1
121	по его	1	1
122	в свое	2	1
123	в виду	1	1
124	что только	1	1
125	эта работа	1	1
126	в течение	1	1
127	наука о	1	1
128	данном случае	1	1
129	входит в	1	1
130	же как	2	1
131	мы снова	1	1
132	в период	1	1
133	без точного	1	1
134	можно сказать	4	1
135	она не	1	1
136	первый план	1	1
137	все и	2	1
138	своем месте	1	1
139	только как	3	1
140	психики и	1	1
141	сказать что	7	1
142	о нем	1	1
143	мы можем	9	1
144	о том	2	1
145	представлений и	3	1
146	не существует	2	1
147	и содержание	2	1
148	как нам	1	1
149	что же	1	1
150	ее в	2	1
151	и потому	3	1
152	только для	5	1
153	и быть	1	1
154	и вся	2	1
155	даже не	3	1
156	что в	3	1
157	он был	1	1
158	а это	1	1
159	тогда когда	1	1
160	первый взгляд	1	1
161	это же	1	1
162	а для	1	1
163	как на	1	1
164	же в	1	1
165	находит себе	1	1
166	где же	1	1
167	с одной	1	1
168	той же	1	1
169	это содержание	1	1
170	в этот	2	1
171	на своем	1	1
172	уже не	1	1
173	к этому	2	1
174	так и	4	1
175	быть не	1	1
176	и действительно	2	1
177	мы имеем	1	1
178	связанных с	2	1
179	человека и	1	1
180	по мнению	1	1
181	искусства в	1	1
182	но если	1	1
183	об ее	1	1
184	нет и	2	1
185	друг другу	1	1
186	только при	1	1
187	и все	4	1
188	и это	6	1
189	и др	3	1
190	одной стороны	1	1
191	никогда не	2	1
192	что никакого	1	1
193	и даже	4	1
194	что для	1	1
195	счете только	1	1
196	имеем в	1	1
197	в пределах	2	1
198	мы полагаем	3	1
199	метода в	1	1
200	у него	2	1
201	те основные	1	1
202	и делает	1	1
203	полагаем что	3	1
204	к изучению	1	1
205	за пределы	2	1
206	в нем	4	1
207	и так	2	1
208	бы ни	1	1
209	вообще по	1	1
210	и эта	1	1
211	в ней	1	1
212	именно этот	1	1
213	что угодно	1	1
214	и прежде	1	1
215	мнению не	1	1
216	это в	1	1
217	но именно	1	1
218	то содержание	1	1
219	теории и	1	1
220	в порядке	1	1
221	отказ от	1	1
222	он прежде	1	1
223	их в	3	1
224	как таковым	1	1
225	философские социальные	1	1
226	к следующему	2	1
227	в данном	1	1
228	довести до	1	1
229	он будет	1	1
