N	2gram	Vinokur_St_3	Tragedij
1	и в	25	18
2	в году	5	9
3	в этом	24	9
4	не только	12	8
5	и с	4	7
6	и на	6	7
7	может быть	19	7
8	как бы	6	7
9	и не	10	7
10	но в	5	6
11	и его	3	6
12	в образе	1	6
13	же время	3	6
14	что он	19	6
15	у него	9	6
16	то же	5	5
17	все же	4	5
18	что это	16	5
19	это не	7	5
20	как и	4	5
21	несмотря на	3	5
22	в то	7	5
23	в дальнейшем	1	5
24	так и	5	5
25	это очень	1	5
26	не может	7	5
27	к жизни	1	5
28	еще не	2	4
29	в целом	4	4
30	в этой	14	4
31	в нем	1	4
32	об этом	5	4
33	том что	15	4
34	что я	3	4
35	и что	3	4
36	но и	9	4
37	я люблю	1	4
38	прежде всего	10	4
39	так же	1	4
40	но это	4	4
41	все это	8	4
42	этот образ	2	4
43	что в	19	4
44	и все	1	4
45	то что	12	4
46	и он	1	3
47	своего рода	3	3
48	как в	6	3
49	в своем	1	3
50	и как	1	3
51	все эти	3	3
52	то есть	2	3
53	должно быть	1	3
54	о чем	1	3
55	в поле	1	3
56	своего отца	1	3
57	что вы	1	3
58	с ее	2	3
59	и сам	1	3
60	с ним	1	3
61	к нему	4	3
62	в его	12	3
63	один из	2	3
64	уже в	3	3
65	для него	3	3
66	в конце	6	3
67	что за	1	3
68	вряд ли	1	2
69	в первом	1	2
70	и до	1	2
71	что эти	4	2
72	и за	2	2
73	а как	4	2
74	из своих	1	2
75	никогда не	2	2
76	и то	1	2
77	он был	3	2
78	не был	2	2
79	но этого	1	2
80	с его	3	2
81	автора но	1	2
82	отношение к	4	2
83	не просто	2	2
84	не человек	1	2
85	так что	11	2
86	и я	1	2
87	как говорит	1	2
88	это был	2	2
89	говорит что	5	2
90	с г	1	2
91	в самом	2	2
92	то и	2	2
93	по словам	1	2
94	он не	5	2
95	что она	1	2
96	но все	2	2
97	что все	3	2
98	его в	1	2
99	знает что	1	2
100	в это	2	2
101	ни в	5	2
102	нет в	3	2
103	с тем	4	2
104	не мог	2	2
105	вопрос о	1	2
106	одном из	1	2
107	но эта	1	2
108	не в	6	2
109	что этот	3	2
110	вместе со	1	2
111	но они	2	2
112	одна из	2	2
113	не имеет	2	2
114	в русском	2	2
115	он и	2	2
116	к тому	2	2
117	и это	5	2
118	году в	1	2
119	в ее	1	2
120	сей день	1	2
121	не за	1	2
122	как у	1	2
123	а что	1	2
124	ничего не	4	2
125	и здесь	3	2
126	о том	8	2
127	времени в	1	2
128	что и	1	2
129	в том	20	2
130	который в	1	2
131	по мнению	3	2
132	между этими	1	2
133	и ее	2	2
134	уже не	3	2
135	в виде	3	2
136	не так	3	2
137	в известной	1	2
138	в одном	1	2
139	друг друга	1	2
140	не случайно	1	2
141	тем что	19	2
142	писателя и	3	2
143	говорит о	1	2
144	до конца	3	2
145	в рассказе	3	2
146	с первого	1	2
147	для искусства	2	2
148	в данном	1	2
149	очень важно	1	2
150	о его	1	2
151	это уже	1	2
152	потому что	5	2
153	состоит из	1	2
154	в частности	1	2
155	я и	3	1
156	показывает его	1	1
157	ту же	1	1
158	и т	8	1
159	одним из	1	1
160	например в	4	1
161	он считает	2	1
162	ставил перед	1	1
163	сам по	1	1
164	а из	1	1
165	и др	4	1
166	самом деле	2	1
167	к своей	2	1
168	что когда	1	1
169	смысл этого	1	1
170	поэтому он	1	1
171	должна быть	1	1
172	объясняется и	1	1
173	в селе	1	1
174	той же	2	1
175	смотреть на	1	1
176	собой как	1	1
177	xvii века	2	1
178	на себя	1	1
179	событий и	1	1
180	ему в	1	1
181	в разговоре	1	1
182	в виду	2	1
183	подчеркнуть что	3	1
184	в сцене	6	1
185	в ней	4	1
186	ему хотелось	3	1
187	что судьба	1	1
188	встречается в	1	1
189	представляет собой	1	1
190	между собой	1	1
191	быть в	1	1
192	это же	1	1
193	в чем	4	1
194	во всех	2	1
195	что иногда	1	1
196	у которой	1	1
197	в петербурге	1	1
198	но не	2	1
199	отказ от	2	1
200	но как	2	1
201	всегда стремится	1	1
202	свою трагедию	3	1
203	большое значение	2	1
204	за пределы	1	1
205	к сожалению	2	1
206	ненавистью и	1	1
207	тебе и	1	1
208	чем же	1	1
209	в истории	1	1
210	в центре	4	1
211	опирается на	1	1
212	что именно	2	1
213	место где	1	1
214	что ее	1	1
215	не удалась	2	1
216	хочет сделать	1	1
217	и наконец	3	1
218	то в	4	1
219	в которой	4	1
220	при создании	1	1
221	бы не	1	1
222	переведя на	1	1
223	за себя	2	1
