N	3gram	Nazirov_Tr_1	Istorich
1	в этом случае	1	6
2	в том что	2	5
3	о том что	2	4
4	в данном случае	2	3
5	не может быть	1	3
6	точно так же	2	2
7	во всяком случае	1	2
8	но все же	2	2
9	ее к себе	1	2
10	после того как	1	2
11	как и в	1	2
12	в этом мире	1	1
13	в обоих случаях	1	1
14	сменяющие друг друга	1	1
15	том что он	1	1
16	и не может	1	1
17	сердца но в	1	1
18	что когда я	1	1
19	вместе с ними	1	1
20	и то что	1	1
21	это может быть	1	1
22	все эти черты	1	1
23	и должна быть	1	1
24	или как говорит	1	1
25	еще ничего не	1	1
26	но и на	1	1
27	но при этом	1	1
28	обстоит дело с	1	1
29	с такой силой	1	1
30	все же не	1	1
31	между этими двумя	2	1
32	связь и с	1	1
33	и знает что	1	1
34	в точности соответствует	1	1
35	так и в	3	1
36	и вместе с	1	1
37	что в ней	1	1
38	такой силой что	1	1
39	несмотря на все	1	1
40	тем не менее	1	1
41	смысле этого слова	1	1
