N	3gram	Tiupa_Vved_1	RusskieA
1	в том что	3	18
2	состоит в том	2	13
3	в этом случае	1	6
4	в данном случае	6	6
5	о том что	4	4
6	в этих случаях	2	3
7	в отличие от	2	3
8	не может быть	3	3
9	подобно тому как	2	3
10	тем не менее	3	2
11	что иное как	1	2
12	состояла в том	1	2
13	может быть только	1	2
14	не что иное	1	2
15	в том чтобы	2	2
16	в этом и	1	2
17	мы не можем	1	2
18	умирающего и воскресающего	1	2
19	с одной стороны	5	2
20	пока еще не	3	2
21	этом и состоит	1	1
22	и по своим	1	1
23	более или менее	2	1
24	в настоящее время	1	1
25	но в данном	1	1
26	в том же	1	1
27	о том как	1	1
28	потому что на	1	1
29	но в этот	1	1
30	но и в	2	1
31	как мы увидим	1	1
32	в этом отношении	4	1
33	по аналогии с	1	1
34	из того что	1	1
35	но это не	1	1
36	можно было бы	2	1
37	одна из них	1	1
38	не в духе	1	1
39	представляет собой очень	1	1
40	здесь мы имеем	1	1
41	может быть не	3	1
42	во всяком случае	1	1
43	по своему происхождению	1	1
44	на первый взгляд	1	1
45	не входит в	1	1
46	и в этом	1	1
47	как он полагал	1	1
48	не говорится о	1	1
49	с другой стороны	1	1
50	все то что	1	1
51	быть не только	1	1
52	к себе в	1	1
53	в свою очередь	4	1
54	к этому времени	1	1
55	с того что	1	1
56	не непосредственно а	1	1
57	ни одна из	1	1
58	на основе которой	1	1
59	можно сказать что	1	1
60	на то что	1	1
61	каждый из этих	1	1
62	к новой жизни	1	1
63	по своим формам	1	1
64	как и в	2	1
65	как мы видели	2	1
