N	4gram	Bakhtin_sl_2	Problemy
1	в то же время	4	5
2	в той или иной	3	3
3	но в то же	3	3
4	отношения к чужому слову	1	2
5	сама по себе никогда	1	1
6	чужим словом и с	2	1
7	тем не менее в	1	1
8	до сих пор не	2	1
9	с чужим словом и	3	1
10	никогда не может быть	2	1
11	и его слово в	2	1
12	не с точки зрения	1	1
13	с одной стороны и	3	1
14	как это возможно в	1	1
15	и т п в	2	1
16	в нем новые стороны	1	1
17	и не может быть	1	1
18	в том числе и	1	1
19	с чужим словом в	1	1
20	в него свои интенции	1	1
21	как мы уже говорили	1	1
22	словом и с чужим	1	1
23	рассказ от автора и	1	1
24	сама по себе еще	1	1
25	иначе обстоит дело в	1	1
26	в значительной степени определяется	1	1
27	в том что он	1	1
28	одну и ту же	1	1
29	той или иной степени	3	1
30	по себе никогда не	1	1
31	в большинстве случаев в	1	1
32	без дистанции без преломления	1	1
33	по отношению к себе	1	1
