N	2gram	Bakhtin_fo_2	OGranits
1	и в	46	13
2	и его	12	12
3	прежде всего	14	9
4	может быть	7	8
5	не может	2	8
6	и не	9	8
7	и т.п	2	7
8	в его	8	7
9	и их	4	7
10	и пр	2	7
11	точки зрения	10	7
12	только в	11	6
13	как бы	10	6
14	не только	11	6
15	то что	7	6
16	таким образом	3	6
17	в материале	1	5
18	и т.д	1	5
19	все же	6	5
20	и наконец	6	5
21	в поэзии	2	5
22	с точки	8	5
23	мы не	1	4
24	но мы	1	4
25	тех пор	1	4
26	еще и	1	4
27	но в	10	4
28	мы можем	1	4
29	то же	8	4
30	лишь в	2	4
31	в своей	1	4
32	было бы	2	4
33	все это	6	4
34	в двух	2	4
35	не является	3	4
36	материала в	1	4
37	в каждом	1	4
38	и то	1	3
39	в ее	1	3
40	самом деле	1	3
41	в пределах	5	3
42	так и	7	3
43	говорить о	2	3
44	в их	3	3
45	за пределы	1	3
46	тела и	5	3
47	с этим	5	3
48	в которой	1	3
49	ни один	1	3
50	в себе	4	3
51	не как	1	3
52	в одном	7	3
53	так как	6	3
54	одно и	1	3
55	здесь мы	3	3
56	но и	9	3
57	как и	8	3
58	и уже	1	3
59	точку зрения	1	3
60	не в	9	3
61	да и	1	3
62	есть прежде	1	3
63	и для	9	3
64	никогда не	6	3
65	и все	6	3
66	не столько	1	3
67	что в	5	3
68	смысле слова	2	2
69	для себя	1	2
70	и др	5	2
71	данном случае	1	2
72	в произведении	1	2
73	роль в	3	2
74	мы уже	9	2
75	те же	6	2
76	есть не	1	2
77	если бы	1	2
78	и стиль	2	2
79	с самого	1	2
80	и должно	2	2
81	в ней	1	2
82	ее в	3	2
83	а также	3	2
84	в чем	1	2
85	помимо этого	1	2
86	между тем	1	2
87	явлений и	2	2
88	в ряд	9	2
89	в общем	1	2
90	нуждается в	1	2
91	что они	4	2
92	наконец в	2	2
93	и следовательно	1	2
94	его на	1	2
95	как в	4	2
96	в данном	2	2
97	в этом	22	2
98	в полном	1	2
99	в том	10	2
100	мы видим	2	2
101	тот же	3	2
102	от этого	2	2
103	и отчасти	1	2
104	в этот	3	2
105	во времени	3	2
106	и тем	1	2
107	все эти	5	2
108	с одной	2	2
109	учение о	1	2
110	уже в	4	2
111	в нем	5	2
112	связанные с	5	2
113	при этом	6	2
114	для него	3	2
115	в другом	3	2
116	вовсе не	13	2
117	тем что	3	2
118	в них	7	2
119	связанных с	3	2
