N	2gram	Vinokur_Vv_1	Vvedenie
1	при этом	3	28
2	а не	3	21
3	не только	21	20
4	но и	5	20
5	в том	31	19
6	может быть	24	19
7	что такое	10	16
8	и не	13	16
9	в этом	34	15
10	состоит в	2	15
11	такого рода	2	15
12	своего рода	3	14
13	представляет собой	12	13
14	том что	26	13
15	и в	27	13
16	как и	5	12
17	в частности	3	12
18	так и	1	11
19	в данном	11	11
20	по отношению	4	10
21	тогда как	2	10
22	отношению к	4	10
23	в качестве	7	8
24	в себе	4	8
25	в нем	13	8
26	данном случае	5	8
27	со стороны	12	8
28	и т.п	1	8
29	прежде всего	8	8
30	а в	5	8
31	с одной	4	7
32	но не	7	7
33	отличие от	3	7
34	в своем	3	7
35	хотя и	3	7
36	но в	10	7
37	в котором	4	7
38	в отличие	3	7
39	не в	8	7
40	в тексте	4	7
41	с другой	8	7
42	одной стороны	4	7
43	не может	13	7
44	то же	8	6
45	мы имеем	3	6
46	как в	1	6
47	все же	8	6
48	соответствии с	2	6
49	иначе говоря	1	6
50	в своей	4	6
51	если бы	2	6
52	а также	3	6
53	в соответствии	2	6
54	мира в	1	6
55	и на	3	5
56	то что	17	5
57	в то	5	5
58	и его	5	5
59	к тому	4	5
60	участия в	1	5
61	можно сказать	3	5
62	как будто	3	5
63	и для	4	5
64	в своих	2	5
65	также и	16	4
66	самом деле	6	4
67	на самом	1	4
68	никогда не	3	4
69	еще не	4	4
70	отношение к	3	4
71	бы и	2	4
72	тому же	1	4
73	вследствие этого	1	4
74	не к	2	4
75	не столько	2	4
76	однако в	3	4
77	потому что	14	4
78	могут быть	4	4
79	и т.д	4	4
80	не с	2	4
81	о том	15	4
82	же время	5	4
83	уже не	5	4
84	в его	10	4
85	в области	4	4
86	и более	1	4
87	что в	11	4
88	автора в	1	4
89	одним из	5	3
90	как мы	9	3
91	говорить о	3	3
92	которое в	2	3
93	стороны и	3	3
94	для которого	1	3
95	большей части	2	3
96	таким образом	19	3
97	времени и	4	3
98	это не	8	3
99	не на	1	3
100	было бы	5	3
101	мы видели	2	3
102	слова и	1	3
103	не менее	8	3
104	с ним	1	3
105	различного рода	1	3
106	не по	1	3
107	может служить	3	3
108	имеем дело	1	3
109	той или	1	3
110	в виду	4	3
111	свою очередь	1	3
112	в результате	3	3
113	том как	1	3
114	внимание на	4	3
115	того что	12	3
116	в какой	4	3
117	только в	13	3
118	а лишь	1	3
119	для него	1	3
120	что и	3	3
121	как раз	4	3
122	представляют собой	6	3
123	или иной	1	3
124	а именно	6	3
125	связано с	1	3
126	у нас	2	3
127	не было	1	3
128	и составляет	1	3
129	до конца	3	3
130	человек в	1	3
131	в той	7	3
132	быть не	1	3
133	но это	1	3
134	и все	1	3
135	и понимания	1	3
136	будто бы	2	3
137	в этих	3	3
