N	2gram	Vygotskiy__1	VerxiiNi
1	и в	31	26
2	таким образом	20	22
3	с тем	3	18
4	в этом	12	15
5	вместе с	8	15
6	точки зрения	15	13
7	как бы	5	12
8	в том	30	11
9	из этих	6	10
10	не только	13	10
11	и с	2	10
12	может быть	22	10
13	связи с	1	9
14	в области	11	9
15	так как	18	9
16	но и	2	9
17	что в	23	9
18	но не	3	8
19	главным образом	2	8
20	и у	4	8
21	с другой	5	8
22	и не	16	8
23	как на	3	8
24	но в	3	7
25	но все	1	7
26	из них	2	7
27	том что	16	7
28	потому что	10	7
29	в эпоху	1	7
30	к нему	2	7
31	с одной	5	7
32	то что	32	7
33	а с	1	7
34	одной стороны	6	7
35	того же	2	6
36	представление о	3	6
37	все же	5	6
38	в себе	4	6
39	всяком случае	6	6
40	с точки	2	6
41	к тому	4	6
42	так и	3	6
43	о том	7	6
44	в конце	3	6
45	что и	13	6
46	несмотря на	5	6
47	и потому	2	6
48	все это	8	6
49	мы должны	1	6
50	во всяком	8	6
51	отношение к	2	5
52	сих пор	3	5
53	и к	3	5
54	тем чтобы	1	5
55	тому же	3	5
56	в силу	3	5
57	в мире	1	5
58	или менее	2	5
59	того чтобы	7	5
60	никогда не	8	5
61	для того	6	5
62	в его	6	5
63	до сих	3	5
64	а не	13	5
65	к жизни	2	5
66	и для	5	5
67	так же	12	5
68	одной из	1	5
69	более или	2	5
70	том числе	1	5
71	в котором	4	4
72	то же	5	4
73	целый ряд	6	4
74	в самом	11	4
75	учение о	1	4
76	в этой	3	4
77	и по	3	4
78	что все	3	4
79	то есть	26	4
80	он не	3	4
81	далеко не	2	4
82	и тогда	2	4
83	в которых	3	4
84	в то	5	4
85	в нем	2	4
86	а в	6	4
87	числе и	1	4
88	что оно	3	4
89	и что	8	4
90	и только	3	4
91	только в	14	4
92	и вместе	2	4
93	на этот	1	4
94	не может	17	4
95	из которых	3	4
96	и от	2	4
97	в этих	4	4
98	что он	7	4
99	же как	4	3
100	из всех	2	3
101	большей частью	2	3
102	если в	1	3
103	в своем	3	3
104	и нет	1	3
105	когда он	2	3
106	и как	2	3
107	за собой	1	3
108	в которой	4	3
109	что это	6	3
110	и те	1	3
111	и если	4	3
112	при этом	19	3
113	всегда и	1	3
114	подойти к	2	3
115	и при	1	3
116	оказывается что	5	3
117	тем не	2	3
118	если бы	6	3
119	не менее	2	3
120	как о	1	3
121	представляет собой	2	3
122	в других	1	3
123	и о	4	3
124	по учению	1	3
125	с самого	1	3
126	на нее	1	3
127	ясно что	19	3
128	можно сказать	1	3
129	в значительной	1	3
130	того что	10	3
131	но с	1	3
132	хотя бы	1	3
133	в качестве	2	3
134	так что	5	3
135	из которого	2	3
136	уже не	2	3
137	что эти	3	3
138	для него	1	3
139	в одном	2	3
140	к ним	2	3
141	случае не	2	3
142	и даже	6	3
