N	3gram	Medvedev_V_1	Literetu
1	то же время	5	7
2	в то же	5	7
3	в этом отношении	13	5
4	к тому же	1	5
5	по отношению к	7	4
6	не говоря уже	1	4
7	в данном случае	1	4
8	с одной стороны	2	4
9	о том что	3	4
10	в том что	5	4
11	в том числе	2	3
12	в соответствии с	1	3
13	говоря уже о	1	3
14	не может быть	8	3
15	в самом деле	1	2
16	подобно тому как	2	2
17	то же самое	1	2
18	одной стороны и	2	2
19	но и в	1	2
20	том числе и	2	2
21	в целом и	1	2
22	в том чтобы	2	2
23	не удивительно что	3	2
24	не только в	2	2
25	так или иначе	1	2
26	с другой стороны	8	2
27	и вместе с	1	2
28	в одном из	3	2
29	той или иной	1	2
30	в другом месте	2	1
31	не требуется чтобы	1	1
32	хотя и не	1	1
33	в той или	1	1
34	и в прозе	1	1
35	органической связи с	1	1
36	по существу своему	1	1
37	об отсутствии у	1	1
38	творчества он и	1	1
39	не об отсутствии	1	1
40	о том как	3	1
41	вмешивается в ход	1	1
42	как будто бы	1	1
43	не как на	1	1
44	только в том	2	1
45	хотя бы и	5	1
46	вместе с тем	3	1
47	художника может быть	1	1
48	то что в	1	1
49	по аналогии с	1	1
50	и т п	9	1
51	в своем дневнике	1	1
52	во всей ее	1	1
53	именно в этом	1	1
54	некоторые из них	1	1
55	ту или иную	1	1
56	быть определена как	1	1
57	не только для	1	1
58	это и есть	3	1
59	в связи с	3	1
60	вопрос о том	1	1
61	может быть определена	1	1
62	он и не	1	1
63	для того чтобы	3	1
64	а не только	1	1
65	на вопрос что	1	1
66	этой точки зрения	2	1
67	более или менее	6	1
68	кажется что он	1	1
69	всей ее полноте	1	1
70	и при всей	1	1
71	в свою очередь	1	1
72	еще в году	1	1
73	в работе над	1	1
74	ничего общего с	1	1
75	но и для	1	1
76	не только не	2	1
77	в конечном счете	5	1
78	в этой системе	1	1
79	с этой точки	1	1
80	или иной мере	1	1
81	с по год	1	1
82	к тому что	3	1
83	сама по себе	1	1
84	может быть в	1	1
85	во всех других	1	1
86	что он в	1	1
87	и следовало ожидать	1	1
