N	2gram	Vinokur_St_3	Komedia
1	и в	25	26
2	в комедии	1	19
3	в г	12	17
4	и не	10	14
5	и его	3	12
6	к тому	2	12
7	так и	5	12
8	может быть	19	11
9	в том	20	11
10	в этом	24	10
11	на протяжении	4	10
12	но и	9	10
13	том что	15	9
14	если бы	4	9
15	вместе с	2	9
16	что в	19	9
17	молодой человек	2	9
18	ясно что	1	8
19	было бы	7	8
20	и на	6	7
21	не только	12	7
22	на себя	1	7
23	что и	1	7
24	из них	1	7
25	еще не	2	6
26	в своем	1	6
27	о том	8	6
28	в нем	1	6
29	таким образом	10	6
30	в то	7	6
31	того чтобы	1	6
32	потому что	5	6
33	и здесь	3	6
34	в двух	1	6
35	наряду с	1	6
36	во время	3	6
37	то что	12	6
38	в которой	4	5
39	с его	3	5
40	что он	19	5
41	так что	11	5
42	в истории	1	5
43	независимо от	5	5
44	с этим	7	5
45	для того	2	5
46	а затем	1	5
47	ни в	5	5
48	с тем	4	5
49	себя внимание	1	5
50	последние десятилетия	1	5
51	и с	4	5
52	один из	2	5
53	действующих лиц	4	5
54	в качестве	4	5
55	обращает на	1	5
56	г и	12	5
57	к этому	3	5
58	уже в	3	4
59	в самом	2	4
60	что это	16	4
61	в целом	4	4
62	из этих	6	4
63	это было	8	4
64	в них	5	4
65	как и	4	4
66	в этих	11	4
67	место в	6	4
68	тому что	3	4
69	не менее	2	4
70	важно что	2	4
71	судя по	1	4
72	это слово	3	4
73	как мы	2	4
74	в в	3	4
75	что у	2	4
76	можно было	1	4
77	его в	1	4
78	между тем	6	4
79	в его	12	4
80	только в	6	4
81	до нас	2	4
82	в начале	4	4
83	так как	3	4
84	у него	9	4
85	в последние	1	4
86	что для	3	4
87	прежде всего	10	4
88	в частности	1	4
89	о его	1	4
90	все же	4	4
91	и для	4	4
92	одной из	2	4
93	точки зрения	7	4
94	речь идет	2	3
95	например в	4	3
96	тех же	1	3
97	в котором	5	3
98	то же	5	3
99	в их	3	3
100	той же	2	3
101	вопрос о	1	3
102	похожи на	1	3
103	того же	2	3
104	в ней	4	3
105	что его	2	3
106	во всех	2	3
107	но не	2	3
108	как в	6	3
109	что касается	7	3
110	но в	5	3
111	так или	1	3
112	в этой	14	3
113	как он	1	3
114	друг другу	1	3
115	но все	2	3
116	в каждом	4	3
117	его современников	1	3
118	не имеет	2	3
119	того как	1	3
120	в самой	1	3
121	же время	3	3
