N	2gram	Medvedev_I_1	Literetu
1	и не	2	12
2	в этом	2	12
3	в целом	1	8
4	и в	1	8
5	я не	1	7
6	и сам	1	6
7	того что	1	6
8	себя в	1	6
9	а также	1	5
10	в художественном	1	4
11	никогда не	1	4
12	так и	1	4
13	тех же	1	3
14	самого себя	2	3
15	по отношению	1	3
16	более чем	1	3
17	художественного творчества	1	3
18	в основе	1	3
19	с другой	1	3
20	и др	1	3
21	жизни и	1	3
22	что в	2	3
23	а в	1	3
24	того же	1	2
25	не остается	1	2
26	а для	1	2
27	следующим образом	1	2
28	все эти	1	2
29	же это	1	2
30	вплоть до	1	2
31	должен быть	2	2
32	то и	1	2
33	что для	1	2
34	для него	1	2
35	не случайно	1	2
36	тем что	1	2
37	отношению к	1	2
38	по поводу	1	2
39	и наказания	1	1
40	с жизнью	1	1
41	преступления и	1	1
42	нам в	1	1
43	не допустил	1	1
44	достоевского с	1	1
45	о жизни	1	1
46	он не	2	1
47	и с	3	1
48	а по	1	1
49	это было	1	1
50	его личности	1	1
51	в них	1	1
52	автора и	1	1
53	в эту	1	1
54	если бы	1	1
55	как о	1	1
56	говорить о	1	1
57	на котором	1	1
58	другой стороны	1	1
59	что при	1	1
60	очевидно что	1	1
61	в материале	1	1
62	в значительной	1	1
63	со всеми	1	1
64	не так	1	1
65	основе всего	1	1
66	произведения и	1	1
67	стороны он	1	1
68	а с	1	1
69	по существу	1	1
70	и о	1	1
71	только для	1	1
72	только что	1	1
