N	4gram	Bakhtin_Pr_1	Myslijsy
1	в то же время	9	3
2	и в этом смысле	2	3
3	не в том что	1	2
4	дело в том что	1	2
5	но с другой стороны	2	2
6	а в том что	1	2
7	в том и другом	1	2
8	как бы ни были	1	1
9	во всяком случае не	1	1
10	бы то ни было	1	1
11	во что бы то	1	1
12	и не могут быть	1	1
13	по себе еще не	2	1
14	можно было бы сказать	1	1
15	что бы то ни	1	1
16	бы то ни стало	1	1
17	с другой стороны и	1	1
18	ни в одном из	1	1
19	зависит от того как	1	1
20	с самого начала все	1	1
21	то же время не	3	1
22	заключается в том что	1	1
23	зрения на мир такой	1	1
24	и в этом отношении	2	1
