N	3gram	Bakhtin_KF_1	Literetu
1	то же время	2	9
2	в то же	2	9
3	не может быть	11	7
4	в конечном счете	1	5
5	в том что	2	5
6	с точки зрения	9	3
7	по отношению к	22	3
8	тем не менее	2	2
9	себя в другом	1	1
10	в своих границах	2	1
11	нет и не	1	1
12	какого бы то	1	1
13	для нас как	1	1
14	в соответствии с	2	1
15	то же самое	1	1
16	он не может	1	1
17	со мной как	1	1
18	не отменяет а	1	1
19	я в мире	1	1
20	вместе с тем	1	1
21	по отношению ко	4	1
22	бы то ни	2	1
23	в основе своей	1	1
24	и то что	1	1
25	и в то	1	1
26	для себя а	1	1
27	в данный момент	3	1
28	в себя и	1	1
29	во всех этих	2	1
30	отношению ко всему	3	1
31	не в том	1	1
32	я не могу	1	1
33	это и не	1	1
34	найти себя в	1	1
35	не укоренен в	1	1
36	со мной в	1	1
37	мы не можем	1	1
38	что может быть	1	1
39	в свою очередь	1	1
40	на самом деле	3	1
41	и пространства и	1	1
42	той или иной	2	1
43	то ни было	2	1
44	к тому что	1	1
45	место в этом	1	1
46	быть не может	1	1
47	для того чтобы	1	1
48	ее и в	1	1
49	единственное и незаменимое	1	1
