N	2gram	Medvedev_V_1	Russkaja
1	и не	1	19
2	в том	2	17
3	в этом	1	17
4	и в	2	14
5	то же	1	11
6	том что	2	9
7	самом деле	1	7
8	ни к	1	7
9	все это	1	6
10	потому что	1	5
11	и только	1	5
12	только в	1	5
13	хотя бы	1	5
14	по существу	1	5
15	и то	1	4
16	в их	1	4
17	и т.д	1	4
18	так как	1	4
19	в самом	1	3
20	главным образом	1	3
21	в другом	1	3
22	для них	1	3
23	сводится к	1	3
24	в значительной	1	3
25	в конце	2	3
26	именно в	1	3
27	да и	1	3
28	конце концов	2	3
29	говоря о	1	2
30	к чему	1	2
31	время в	1	2
32	говорили в	1	2
33	том же	1	2
34	ясно что	1	2
35	даже не	1	2
36	в частности	1	2
37	но это	1	2
38	этом и	1	2
39	не играет	1	2
40	к созданию	1	1
41	чем больше	1	1
42	столь же	1	1
43	к этому	1	1
44	а только	1	1
45	роли не	1	1
46	и заключается	1	1
47	значительной степени	1	1
48	в которых	1	1
49	по крайней	1	1
50	дело в	1	1
51	совершенно ясно	1	1
52	других и	1	1
53	другом месте	1	1
54	образом связаны	1	1
55	крайней мере	1	1
56	теснейшим образом	1	1
57	по своим	1	1
58	как же	1	1
59	играет ибо	1	1
60	с большой	1	1
61	этому и	1	1
62	тем более	1	1
