N	2gram	Vygotskiy__3	BTomashe
1	у нас	2	3
2	лучше и	1	2
3	и не	10	2
4	больше чем	4	2
5	все это	3	2
6	в ней	15	2
7	литературных произведений	1	2
8	можно было	1	2
9	не то	4	2
10	художественного произведения	1	1
11	остановиться на	2	1
12	будто бы	1	1
13	и в	38	1
14	и о	3	1
15	в речи	3	1
16	со всем	1	1
17	к ней	2	1
18	следовало бы	1	1
19	что все	3	1
20	с другой	7	1
21	в своей	5	1
22	на самом	2	1
23	как будто	4	1
24	не следует	1	1
25	из ее	1	1
26	было бы	12	1
27	все же	8	1
28	всяком случае	2	1
29	кроме того	1	1
30	никак не	7	1
31	между ними	1	1
32	еще не	1	1
33	и на	6	1
34	этих приемов	1	1
35	должна быть	5	1
36	нет но	1	1
37	в данном	2	1
38	и во	2	1
39	так и	1	1
40	не было	1	1
41	то как	2	1
42	из своей	2	1
43	совершенно не	5	1
44	далеко не	3	1
45	не о	1	1
46	всего в	1	1
47	до конца	2	1
48	нельзя не	2	1
49	стиля и	1	1
50	а не	7	1
51	что в	20	1
52	другой стороны	5	1
53	и ее	2	1
54	случае очень	1	1
55	не все	1	1
56	не уничтожается	1	1
57	отнюдь не	2	1
58	таким образом	12	1
59	и более	2	1
60	и потому	1	1
61	нас по	1	1
62	не только	12	1
63	иначе не	1	1
64	во всяком	2	1
