N	3gram	Losev_Vesc_1	Psycholo
1	в том что	4	17
2	для того чтобы	2	13
3	в самом деле	4	11
4	с точки зрения	3	10
5	заключается в том	1	10
6	не может быть	6	8
7	на то что	2	6
8	то же самое	1	6
9	до сих пор	1	5
10	в этом отношении	1	5
11	сам по себе	3	4
12	можно было бы	1	4
13	так же как	1	4
14	в данном случае	2	4
15	тем не менее	3	4
16	о том что	4	4
17	и в самом	1	4
18	сами по себе	3	3
19	с тем что	1	3
20	в том чтобы	1	3
21	в конце концов	2	3
22	в то время	1	3
23	само по себе	1	3
24	что и в	1	3
25	было бы и	3	2
26	но так как	1	2
27	это было бы	1	2
28	подобно тому как	4	2
29	что все это	1	2
30	и то что	3	2
31	то время как	1	2
32	не в том	1	2
33	по сравнению с	6	2
34	потому что она	1	2
35	бы то ни	4	2
36	во всяком случае	2	2
37	но совершенно ясно	1	2
38	этой точки зрения	1	2
39	в свою очередь	4	2
40	ту же самую	1	2
41	это значит что	19	2
42	с другой стороны	2	2
43	в то же	1	2
44	к тому что	2	2
45	мы видим что	1	2
46	только потому что	1	2
47	и т д	19	2
48	философии вообще и	1	1
49	и того же	1	1
50	что иное как	7	1
51	выводы из этого	1	1
52	есть один из	1	1
53	в данный момент	1	1
54	потому что им	1	1
55	по существу и	1	1
56	в чем же	3	1
57	то это значит	2	1
58	говорить что это	1	1
59	и даже не	3	1
60	еще не вполне	1	1
61	свидетельствует о том	3	1
62	новые и новые	1	1
63	того или другого	1	1
64	крайней мере в	1	1
65	о том как	1	1
66	что она есть	2	1
67	и кто не	1	1
68	а не к	1	1
69	и для всех	1	1
70	но потому что	1	1
71	в зависимости от	1	1
72	было бы нелепо	1	1
73	на что не	1	1
74	только то что	2	1
75	что не только	1	1
76	описать и объяснить	1	1
77	и во всех	1	1
78	кроме того что	1	1
79	если мы его	1	1
80	в основе своей	2	1
81	от всякого психологизма	1	1
82	это и значит	2	1
83	по самому своему	1	1
84	ли это что	3	1
85	с этой точки	1	1
86	по крайней мере	4	1
87	вместе с тем	1	1
88	не то что	1	1
89	и тем не	1	1
90	того что они	1	1
91	в ней не	1	1
92	одно и то	4	1
93	и в частности	1	1
94	ясно что и	1	1
95	от того что	1	1
96	то ни было	4	1
97	так как она	1	1
98	значит ли это	4	1
99	не есть еще	2	1
100	и что он	1	1
101	с одной стороны	3	1
102	это однако не	1	1
103	и то же	4	1
104	бы вбирает в	1	1
105	ни на что	1	1
106	точки зрения и	1	1
107	как будто бы	1	1
108	и ничего не	1	1
109	в одном случае	1	1
110	все же не	1	1
111	и ничем не	1	1
112	оказывается вовсе не	1	1
113	что не направленный	1	1
114	только о том	1	1
115	это относится не	1	1
116	восприятие вещи и	1	1
117	сама с собой	1	1
118	в свое время	2	1
119	что у того	1	1
120	друг с другом	1	1
121	совершенно ясно и	1	1
122	сказать что оно	1	1
123	более или менее	1	1
124	есть не что	5	1
125	но только с	1	1
126	по себе а	1	1
127	же по себе	1	1
128	а и в	7	1
129	том смысле что	1	1
130	то что мы	2	1
131	в обыденной речи	1	1
132	как бы вбирает	1	1
133	дело не с	2	1
134	не только не	2	1
135	и что все	1	1
136	нужно сказать что	1	1
137	можно сказать что	3	1
138	происходит не в	1	1
139	одного и того	1	1
140	то или другое	1	1
141	что оно не	1	1
142	я позволю себе	1	1
143	не потому что	4	1
144	в том смысле	1	1
145	не значит что	1	1
146	не что иное	7	1
147	в первом случае	2	1
148	на то чтобы	1	1
149	ясно что это	1	1
150	имеют под собой	1	1
151	к одному и	1	1
152	один из самых	1	1
153	вбирает в себя	3	1
