N	2gram	Vinokur_St_2	Istorich
1	и т	9	27
2	и в	29	26
3	т д	6	24
4	так же	3	18
5	т е	10	18
6	то что	11	16
7	не только	19	15
8	может быть	2	14
9	что в	19	14
10	же как	3	13
11	но и	19	12
12	связь с	2	12
13	в лесу	1	12
14	и пр	8	11
15	так и	9	10
16	таким образом	10	10
17	и его	6	10
18	что он	13	10
19	при помощи	4	10
20	все же	6	9
21	его в	2	9
22	что и	2	9
23	так как	2	9
24	и не	9	9
25	то же	2	8
26	а в	1	8
27	в этом	21	7
28	он не	9	7
29	об этом	6	7
30	как и	2	7
31	в этих	3	7
32	во время	2	7
33	нас к	1	7
34	как в	3	7
35	в качестве	5	7
36	героя в	1	7
37	и то	1	6
38	совершенно так	2	6
39	еще не	1	6
40	что они	2	6
41	как он	2	6
42	мы видели	1	6
43	мы можем	1	6
44	потому что	9	6
45	а не	5	6
46	не может	2	6
47	вместе с	7	6
48	когда он	1	6
49	это и	1	5
50	но не	3	5
51	и как	2	5
52	но в	8	5
53	и по	3	5
54	с собой	1	5
55	но все	7	5
56	в другом	4	5
57	и с	4	5
58	к которым	1	5
59	не в	4	5
60	точно так	1	5
61	ничего не	4	5
62	как мы	1	5
63	и здесь	3	5
64	и что	6	5
65	в его	13	5
66	с ними	1	5
67	раньше чем	4	5
68	в одном	6	5
69	у него	1	5
70	тем что	3	5
71	до сих	6	5
72	и др	2	5
73	в некоторых	2	5
74	сих пор	5	5
75	в точности	1	5
76	к этому	4	5
77	вопрос о	6	4
78	на себя	3	4
79	в числе	2	4
80	тогда как	2	4
81	не просто	1	4
82	но он	3	4
83	не годится	1	4
84	интересно что	3	4
85	в своей	7	4
86	что этот	2	4
87	даже в	2	4
88	того как	7	4
89	представляют собой	1	4
90	здесь не	1	4
91	так в	1	4
92	о том	17	4
93	и даже	3	4
94	вовсе не	6	4
95	с другой	4	4
96	такое же	2	4
97	а на	1	4
98	а по	1	4
99	все что	1	4
100	в тех	2	4
101	другой стороны	3	4
102	например в	3	3
103	и действительно	1	3
104	из этих	1	3
105	к своей	1	3
106	в одной	2	3
107	все эти	2	3
108	на то	2	3
109	и если	1	3
110	на его	2	3
111	что она	1	3
112	при этом	2	3
113	что у	4	3
114	а затем	2	3
115	те же	1	3
116	должен был	4	3
117	не мог	3	3
118	том что	27	3
119	в связь	1	3
120	от своего	1	3
121	по сравнению	1	3
122	и более	2	3
123	как это	2	3
124	что эта	3	3
125	не имеет	2	3
126	на него	1	3
127	в русской	5	3
128	связи с	4	3
129	и он	3	3
130	она не	1	3
131	данном случае	1	3
132	в образе	3	3
133	на вопрос	3	3
134	с того	1	3
135	а также	2	3
136	в том	27	3
137	только в	2	3
138	или же	1	3
139	в руки	1	3
140	связан с	3	3
141	не на	2	3
142	в свете	1	3
143	о чем	5	3
144	там где	2	3
145	входить в	1	3
146	к своему	2	3
147	в данном	2	3
148	сравнению с	1	3
149	как бы	5	3
150	по существу	2	3
151	этом случае	1	3
152	или в	1	3
153	для нас	1	3
154	но это	3	3
155	только что	2	3
156	же в	1	3
157	е в	1	3
158	между ними	1	3
159	является и	1	3
160	к этой	1	3
161	и другие	2	3
162	в русских	1	2
163	сомнения что	3	2
164	такую же	1	2
165	по его	3	2
166	а как	4	2
167	понятно почему	1	2
168	при жизни	1	2
169	отношение к	1	2
170	тут же	1	2
171	в этой	2	2
172	в истории	2	2
173	пр или	1	2
174	с этим	3	2
175	вот как	1	2
176	в своем	9	2
177	хотя и	4	2
178	говорит что	1	2
179	конечно не	1	2
180	при себе	1	2
181	что это	3	2
182	представляет собой	1	2
183	и тот	1	2
184	в себе	2	2
185	в нем	4	2
186	от которого	1	2
187	не к	2	2
188	его от	1	2
189	на этом	1	2
190	так например	7	2
191	связанных с	1	2
192	хотя бы	3	2
193	было бы	5	2
194	известно что	1	2
195	из них	3	2
196	и тем	1	2
197	с тем	7	2
198	можно считать	1	2
199	и их	1	2
