N	3gram	Ircho_Kome_1	Literetu
1	то же время	4	9
2	в то же	4	9
3	с одной стороны	3	6
4	в том что	9	5
5	состоит в том	1	4
6	едва ли не	3	4
7	с другой стороны	5	4
8	в этом отношении	3	3
9	в данном случае	1	3
10	по отношению к	3	3
11	речь идет о	3	3
12	о том что	3	2
13	не говоря уже	2	2
14	подобно тому как	1	2
15	говоря уже о	2	2
16	и т п	5	2
17	в разговоре с	1	2
18	в том числе	1	2
19	тем не менее	1	2
20	том что в	1	1
21	но и не	1	1
22	как было сказано	1	1
23	что уже в	1	1
24	то и вовсе	1	1
25	в соответствии с	1	1
26	то же самое	2	1
27	что же касается	1	1
28	еще при жизни	1	1
29	вместе с тем	1	1
30	что он не	1	1
31	в отличие от	1	1
32	бы то ни	2	1
33	состоит не в	1	1
34	можно было бы	1	1
35	а то и	2	1
36	с этой точки	1	1
37	в самом начале	1	1
38	в конце концов	4	1
39	как он был	1	1
40	от земли и	1	1
41	не мог бы	1	1
42	этой точки зрения	1	1
43	по тем же	1	1
44	из того же	1	1
45	в одном из	4	1
46	и прежде всего	1	1
47	то ни было	2	1
48	после того как	3	1
49	к тому что	1	1
50	для того чтобы	1	1
51	как мы видели	1	1
