N	3gram	Tiupa_Teor_1	Mirosoze
1	не может быть	4	8
2	для того чтобы	1	4
3	так же как	1	3
4	к тому что	2	3
5	не что иное	1	3
6	что иное как	1	3
7	есть не что	1	3
8	о том что	1	2
9	подобно тому как	1	2
10	добро и зло	1	2
11	в каждом человеке	1	2
12	как и в	2	2
13	с самим собою	1	2
14	может быть и	2	2
15	по отношению к	4	2
16	в том что	8	2
17	никогда не бывает	1	2
18	может быть назван	1	2
19	в отношении к	1	2
20	я никогда не	1	2
21	который может быть	1	1
22	не мыслится как	1	1
23	по своей природе	2	1
24	лишь для того	1	1
25	а также в	1	1
26	это ведет к	1	1
27	может быть названо	2	1
28	не знает личности	1	1
29	именно потому что	1	1
30	так и не	4	1
31	у нее нет	1	1
32	том что в	1	1
33	мере в какой	1	1
34	по ту сторону	1	1
35	в этом мире	2	1
36	сама по себе	1	1
37	ивана карамазова в	1	1
38	и в этой	1	1
39	сойти с ума	1	1
40	но он не	1	1
41	в значительной степени	1	1
42	той мере в	1	1
43	но в действительности	1	1
44	той или иной	1	1
45	знает личности как	1	1
46	между тем в	1	1
47	ибо и в	1	1
48	мы видим в	1	1
49	та или иная	1	1
50	если бы для	1	1
51	в той мере	1	1
52	с точки зрения	3	1
53	а между тем	1	1
