N	4gram	Trubetskoy_1	EvropaiC
1	о котором идет речь	2	5
2	в том случае если	3	4
3	которых мы говорили выше	1	4
4	о которых мы говорили	1	4
5	одного и того же	1	3
6	заключается в том что	1	3
7	в каждый данный момент	1	3
8	о которых идет речь	1	3
9	несмотря на то что	1	2
10	бы то ни было	1	2
11	в то же время	10	2
12	нечего и говорить что	1	2
13	лишь в том случае	2	2
14	как бы то ни	1	2
15	дело в том что	1	1
16	наивно уверены в том	1	1
17	то которое дальше отстоит	1	1
18	раса лучше всех остальных	1	1
19	его семья его сословие	1	1
20	поэтому всякая естественная группа	1	1
21	культуру общечеловеческой цивилизацией и	1	1
22	но не подлежит сомнению	1	1
23	нему ближе более на	1	1
24	центром вселенной венцом создания	1	1
25	его племя его раса	1	1
26	совершенным из всех существ	1	1
27	мы говорили в начале	1	1
28	самой совершенной его семья	1	1
29	свою культуру общечеловеческой цивилизацией	1	1
30	двух других существ то	1	1
31	а то которое дальше	1	1
32	только в том случае	2	1
33	и с точки зрения	1	1
34	ярко выраженной эгоцентрической психологией	1	1
35	бессознательно считает себя центром	1	1
36	к нему ближе более	1	1
37	себя человечеством свою культуру	1	1
38	люди что называли себя	1	1
39	есть ничто иное как	1	1
40	этот человек принадлежит признается	1	1
41	именно с точки зрения	1	1
42	столь наивно уверены в	1	1
43	то которое к нему	1	1
44	более на него похоже	1	1
45	и не может быть	1	1
46	том и в другом	2	1
47	в том числе и	1	1
48	человечеством свою культуру общечеловеческой	1	1
49	и более или менее	1	1
50	они люди что называли	1	1
51	себя центром вселенной венцом	1	1
52	лучше всех остальных подобных	1	1
53	лучше а то которое	1	1
54	создания лучшим наиболее совершенным	1	1
55	человек принадлежит признается им	1	1
56	человек с ярко выраженной	1	1
57	совершенно таким же образом	2	1
58	возможно лишь при условии	2	1
59	считает себя центром вселенной	1	1
60	в том что только	1	1
61	семья его сословие его	1	1
62	то придется признать что	1	1
63	к которой он принадлежит	1	1
64	мы уже знаем что	1	1
65	совершенной его семья его	1	1
66	психологией бессознательно считает себя	1	1
67	всегда столь наивно уверены	1	1
68	признается им самой совершенной	1	1
69	существ из двух других	1	1
70	племя его раса лучше	1	1
71	например тот факт что	1	1
72	венцом создания лучшим наиболее	1	1
73	дальше отстоит от него	1	1
74	которой этот человек принадлежит	1	1
75	что только они люди	1	1
76	что ни одна из	1	1
77	принадлежит признается им самой	1	1
78	естественная группа существ к	1	1
79	друг с другом все	1	1
80	всех остальных подобных им	1	1
81	древних галлов и германцев	1	1
82	им самой совершенной его	1	1
83	в том виде как	1	1
84	к которой этот человек	1	1
85	существ к которой этот	1	1
86	не трудно видеть что	1	1
87	существ то которое к	1	1
88	эгоцентрической психологией бессознательно считает	1	1
89	его раса лучше всех	1	1
90	наиболее совершенным из всех	1	1
91	мы уже указали выше	1	1
92	него хуже поэтому всякая	1	1
93	на то что для	1	1
94	него похоже лучше а	1	1
95	и в том и	2	1
96	только с точки зрения	1	1
97	лучшим наиболее совершенным из	1	1
98	группа существ к которой	1	1
99	а в том что	1	1
100	вселенной венцом создания лучшим	1	1
101	ближе более на него	1	1
102	похоже лучше а то	1	1
103	с ярко выраженной эгоцентрической	1	1
104	отстоит от него хуже	1	1
105	которое к нему ближе	1	1
106	всякая естественная группа существ	1	1
107	тем сильнее чем сильнее	1	1
108	сходные друг с другом	1	1
109	от него хуже поэтому	1	1
110	называли себя человечеством свою	1	1
111	и говорить что в	1	1
112	хуже поэтому всякая естественная	1	1
113	уверены в том что	1	1
114	говорили в начале этой	1	1
115	в том и в	2	1
116	также и то что	1	1
117	всех существ из двух	1	1
118	выраженной эгоцентрической психологией бессознательно	1	1
119	из всех существ из	1	1
120	аспекта одного и того	1	1
121	и в другом случае	2	1
122	только они люди что	1	1
123	что называли себя человечеством	1	1
124	общечеловеческой цивилизацией и наконец	1	1
125	романогерманцы были всегда столь	1	1
126	из двух других существ	1	1
127	и по сие время	1	1
128	других существ то которое	1	1
129	заключает в себе всегда	1	1
130	таким образом оказывается что	1	1
131	том что только они	1	1
132	которое дальше отстоит от	1	1
133	были всегда столь наивно	1	1
134	в этом и состоит	1	1
135	на него похоже лучше	1	1
