N	3gram	Vinokur_St_2	Literetu
1	то же время	1	7
2	в то же	1	7
3	в этом отношении	9	5
4	в отличие от	2	5
5	к тому же	2	5
6	по отношению к	1	4
7	не говоря уже	1	4
8	в данном случае	1	4
9	о том что	11	4
10	в том что	16	4
11	в том числе	1	3
12	с точки зрения	2	3
13	говоря уже о	1	3
14	в самом деле	2	2
15	бы то ни	2	2
16	в том чтобы	1	2
17	то ни было	2	2
18	по большей части	1	2
19	так или иначе	1	2
20	с другой стороны	3	2
21	и вместе с	1	2
22	в одном из	3	2
23	на то что	2	2
24	в другом месте	2	1
25	в этом его	1	1
26	ему кажется что	1	1
27	не только по	2	1
28	а прежде всего	1	1
29	на самом деле	1	1
30	вместе с тем	5	1
31	в первую очередь	1	1
32	во второй половине	1	1
33	то что в	2	1
34	в котором мы	1	1
35	и т п	3	1
36	в первые десятилетия	1	1
37	с тех пор	1	1
38	именно в этом	1	1
39	но одно дело	1	1
40	как раз в	2	1
41	по мнению автора	1	1
42	в значительной степени	2	1
43	на этой почве	1	1
44	или иначе в	1	1
45	но он и	1	1
46	в этих словах	2	1
47	в связи с	1	1
48	но и с	2	1
49	вопрос о том	3	1
50	я не могу	1	1
51	для того чтобы	5	1
52	и в том	1	1
53	более или менее	2	1
54	в свою очередь	1	1
55	при этом и	1	1
56	ничего общего с	1	1
57	что у меня	1	1
58	с того что	1	1
59	не только не	2	1
60	внимание лишь на	1	1
61	самого себя и	1	1
62	к тому что	5	1
63	такое отношение к	1	1
64	в истории русской	1	1
65	в отношении к	1	1
66	тем не менее	2	1
67	то что ей	1	1
68	в какой-то мере	1	1
69	в сочетании с	2	1
