N	3gram	Trubetskoy_1	VrazhdaK
1	и все же	1	5
2	то же время	10	4
3	в то же	10	4
4	в связи с	1	3
5	с точки зрения	9	2
6	и что в	1	2
7	но в то	1	2
8	не может быть	4	2
9	в том что	7	2
10	а между тем	5	1
11	самим собой в	1	1
12	а следовательно и	2	1
13	между прочим и	1	1
14	в нем самом	1	1
15	в том же	1	1
16	тем более что	1	1
17	но для нас	1	1
18	до сих пор	5	1
19	и не может	3	1
20	в этом отношении	1	1
21	точно так же	2	1
22	но мы знаем	1	1
23	по крайней мере	1	1
24	и то что	3	1
25	речь идет не	1	1
26	идет не об	1	1
27	так же как	1	1
28	тем что он	1	1
29	к вопросу о	3	1
30	на первый взгляд	1	1
31	в конце концов	3	1
32	но при этом	1	1
33	и в этом	1	1
34	на россию в	1	1
35	во всяком случае	6	1
36	тем не менее	1	1
37	заключается в том	1	1
38	за границей и	1	1
39	в свою очередь	1	1
40	это и есть	1	1
41	о том что	2	1
42	но и от	1	1
43	на то что	4	1
44	и во всем	1	1
45	не только от	1	1
46	речь идет о	1	1
