N	3gram	Savitsky_P_1	Vvedenie
1	и т д	1	36
2	для того чтобы	1	20
3	в том что	4	12
4	но также и	1	9
5	в этом смысле	1	8
6	не может быть	1	8
7	в применении к	1	6
8	то же время	7	6
9	в то же	7	6
10	с другой стороны	1	5
11	не только в	4	4
12	и в этом	1	4
13	по сравнению с	1	4
14	не только как	1	4
15	во всяком случае	1	4
16	само по себе	1	4
17	с одной стороны	3	4
18	в том виде	1	3
19	одной стороны и	2	3
20	и именно в	1	3
21	в собственном смысле	1	3
22	вместе с тем	1	3
23	но в то	1	3
24	в известном смысле	1	3
25	заключается в том	2	3
26	как она есть	1	2
27	что в этом	1	2
28	с точки зрения	3	2
29	в сопоставлении с	1	2
30	хотя бы и	1	2
31	в значительной мере	2	2
32	не в том	1	2
33	первой половины xix	1	1
34	тех пор пока	1	1
35	более или менее	1	1
36	и как раз	2	1
37	в настоящее время	1	1
38	известном смысле могут	1	1
39	во многих случаях	1	1
40	философской мысли но	1	1
41	в отличие от	1	1
42	но и в	2	1
43	но в общем	1	1
44	не было бы	1	1
45	совершенно ясно что	1	1
46	в гораздо большей	4	1
47	заключает в себе	2	1
48	в определенном смысле	1	1
49	и то что	1	1
50	так же как	1	1
51	можно говорить о	1	1
52	в с е	1	1
53	которые были бы	1	1
54	в частности в	1	1
55	до тех пор	1	1
56	та или иная	1	1
57	но в этом	1	1
58	именно потому что	1	1
59	же время в	1	1
60	как одна из	1	1
61	не входят в	1	1
62	для того кто	1	1
63	в сравнении с	3	1
64	в xix в	1	1
65	в ней только	1	1
