N	3gram	Savitsky_E_1	Analitik
1	не может быть	2	16
2	в том что	6	9
3	в то же	15	8
4	в отличие от	1	6
5	то же время	14	6
6	той или иной	4	6
7	большей или меньшей	1	4
8	с точки зрения	16	4
9	и не в	1	4
10	не более чем	2	4
11	к тому же	1	4
12	в той или	3	3
13	в том числе	1	3
14	того или иного	4	3
15	бы то ни	4	3
16	из того что	2	3
17	для того чтобы	5	3
18	то ни было	4	3
19	с одной стороны	8	3
20	в полной мере	1	3
21	и того же	1	2
22	того что в	2	2
23	но и в	1	2
24	в этом отношении	3	2
25	в данном случае	2	2
26	но в то	2	2
27	не сводится к	1	2
28	не могут быть	1	2
29	с другой стороны	2	2
30	одного и того	1	2
31	тех или иных	1	2
32	как и его	1	1
33	или хотя бы	2	1
34	более или менее	1	1
35	также и в	1	1
36	значение лишь в	1	1
37	один и тот	1	1
38	в соответствии с	1	1
39	и в качестве	1	1
40	выходит за пределы	1	1
41	можно утверждать что	1	1
42	в качестве объекта	1	1
43	а не к	1	1
44	что как бы	1	1
45	только в том	2	1
46	говоря уже о	1	1
47	том случае если	1	1
48	или иначе говоря	1	1
49	того что мы	1	1
50	в том случае	1	1
51	и та же	1	1
52	том числе и	1	1
53	приводит нас к	2	1
54	та и другая	1	1
55	в противном случае	1	1
56	с этой точки	5	1
57	то или иное	1	1
58	и в частности	2	1
59	не только в	4	1
60	тому или иному	2	1
61	в себе в	1	1
62	смысле этого слова	1	1
63	бы столь же	1	1
64	в свою очередь	2	1
65	в известном смысле	3	1
66	в большей или	1	1
67	хотя бы с	1	1
68	или меньшей степени	1	1
69	быть сведена к	1	1
70	прежде всего в	2	1
71	во всяком случае	3	1
72	что в качестве	1	1
73	одна и та	1	1
74	что же касается	1	1
75	этой точки зрения	5	1
76	только в качестве	1	1
77	значение только в	1	1
78	представляет собой своеобразный	1	1
79	может быть сведена	1	1
80	между тем в	3	1
81	и тем самым	1	1
82	только тогда когда	1	1
83	в этом смысле	3	1
84	в связи с	1	1
85	к тому что	1	1
86	друг с другом	3	1
87	и та и	1	1
88	в том же	1	1
89	и тот же	1	1
90	не говоря уже	2	1
